date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.65,0.0,34.32,2.18,33.05,15.9,Bagalkot
2016-12-02,24.9,0.06,47.42,2.74,33.29,17.45,Bagalkot
2016-12-03,26.07,0.09,59.74,3.4,33.05,20.62,Bagalkot
2016-12-04,25.51,0.59,60.57,3.1,31.21,20.22,Bagalkot
2016-12-05,25.67,0.27,54.4,2.73,33.32,20.27,Bagalkot
2016-12-06,22.3,0.0,38.03,2.48,29.91,15.65,Bagalkot
2016-12-07,22.04,0.0,43.46,2.29,31.51,14.29,Bagalkot
2016-12-08,22.32,0.0,34.24,1.88,32.64,14.08,Bagalkot
2016-12-09,21.28,0.0,28.26,1.79,31.95,12.65,Bagalkot
2016-12-10,20.37,0.0,27.14,2.06,31.63,11.05,Bagalkot
2016-12-11,19.57,0.0,32.13,1.88,28.58,11.41,Bagalkot
2016-12-12,21.9,0.0,33.82,2.62,32.26,12.16,Bagalkot
2016-12-13,23.92,0.56,52.09,4.02,30.85,18.52,Bagalkot
2016-12-14,24.53,1.04,65.69,3.08,31.03,19.17,Bagalkot
2016-12-15,24.56,0.29,65.83,2.94,31.11,19.34,Bagalkot
2016-12-16,25.29,0.0,59.24,2.6,32.29,19.25,Bagalkot
2016-12-17,25.12,0.0,52.73,1.87,32.82,18.62,Bagalkot
2016-12-18,23.6,0.0,40.52,1.89,32.24,16.14,Bagalkot
2016-12-19,22.59,0.0,33.09,1.94,32.37,14.34,Bagalkot
2016-12-20,21.93,0.0,29.68,2.12,32.44,13.05,Bagalkot
2016-12-21,21.97,0.0,27.17,1.78,33.24,12.59,Bagalkot
2016-12-22,22.09,0.0,22.07,1.95,33.49,12.62,Bagalkot
2016-12-23,22.15,0.0,21.59,1.82,33.43,13.06,Bagalkot
2016-12-24,21.76,0.0,19.23,2.14,32.85,12.15,Bagalkot
2016-12-25,22.31,0.0,23.9,1.48,33.76,12.35,Bagalkot
2016-12-26,22.61,0.0,27.63,1.76,32.35,15.22,Bagalkot
2016-12-27,21.39,0.0,29.62,2.3,31.93,12.64,Bagalkot
2016-12-28,20.91,0.0,30.9,2.22,31.79,11.45,Bagalkot
2016-12-29,21.49,0.0,40.5,2.33,31.51,13.05,Bagalkot
2016-12-30,21.76,0.0,45.71,2.03,31.34,13.6,Bagalkot
2016-12-31,21.72,0.0,47.83,2.04,31.04,13.98,Bagalkot
2017-01-01,21.9,0.0,42.23,2.08,31.44,13.84,Bagalkot
2017-01-02,22.16,0.0,35.65,1.64,31.68,13.87,Bagalkot
2017-01-03,21.83,0.0,33.46,2.18,31.62,14.0,Bagalkot
