date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,24.04,0.01,40.18,2.14,32.98,17.83,Ballari
2016-12-02,24.83,3.58,58.82,2.89,32.54,19.25,Ballari
2016-12-03,25.08,0.71,68.42,3.25,32.47,19.33,Ballari
2016-12-04,25.72,0.92,66.08,3.03,32.57,20.39,Ballari
2016-12-05,25.41,0.21,62.63,1.96,33.03,20.33,Ballari
2016-12-06,23.59,0.0,58.77,2.29,31.55,17.93,Ballari
2016-12-07,22.91,0.0,54.26,2.07,31.74,15.31,Ballari
2016-12-08,23.35,0.0,50.07,1.57,32.7,16.29,Ballari
2016-12-09,21.64,0.0,30.32,1.61,31.83,13.45,Ballari
2016-12-10,20.64,0.0,27.42,1.94,31.27,11.78,Ballari
2016-12-11,21.41,0.0,34.58,1.49,29.72,13.7,Ballari
2016-12-12,22.81,1.49,45.34,2.89,29.55,15.59,Ballari
2016-12-13,23.49,5.49,73.57,5.48,29.52,18.69,Ballari
2016-12-14,24.33,0.76,71.03,3.27,30.65,19.91,Ballari
2016-12-15,24.02,0.21,72.7,2.66,30.75,18.55,Ballari
2016-12-16,24.82,0.02,67.85,2.95,31.48,20.09,Ballari
2016-12-17,24.37,0.0,62.82,1.85,32.34,18.68,Ballari
2016-12-18,23.27,0.0,53.72,1.83,31.8,16.7,Ballari
2016-12-19,22.16,0.0,45.2,1.82,31.87,14.32,Ballari
2016-12-20,21.78,0.0,43.38,1.9,31.81,14.04,Ballari
2016-12-21,22.72,0.0,44.43,1.48,32.55,13.85,Ballari
2016-12-22,23.23,0.0,26.26,1.68,33.01,15.07,Ballari
2016-12-23,23.18,0.0,22.24,1.57,33.01,15.76,Ballari
2016-12-24,22.01,0.0,26.84,1.87,32.15,14.49,Ballari
2016-12-25,21.73,0.0,40.34,1.77,32.82,12.44,Ballari
2016-12-26,22.3,0.0,39.92,2.0,32.18,14.14,Ballari
2016-12-27,21.79,0.0,41.92,2.19,32.22,14.06,Ballari
2016-12-28,21.37,0.0,46.6,2.01,31.58,12.68,Ballari
2016-12-29,21.92,0.0,56.74,2.33,30.93,14.11,Ballari
2016-12-30,22.12,0.0,58.0,2.23,30.71,14.64,Ballari
2016-12-31,22.06,0.0,56.99,2.36,30.66,15.01,Ballari
2017-01-01,21.68,0.0,47.24,2.4,30.79,14.14,Ballari
2017-01-02,22.12,0.0,48.67,1.9,31.34,13.68,Ballari
2017-01-03,22.82,0.0,42.4,1.89,32.23,14.87,Ballari
2017-01-04,22.34,0.0,42.35,1.62,31.28,14.92,Ballari
2017-01-05,21.6,0.0,40.47,1.73,31.16,13.59,Ballari
2017-01-06,21.75,0.0,30.52,1.41,31.74,13.26,Ballari
2017-01-07,21.68,0.0,36.91,1.55,31.42,13.05,Ballari
2017-01-08,22.4,0.0,46.94,1.95,32.23,13.49,Ballari
2017-01-09,22.46,0.0,50.27,1.97,30.87,14.77,Ballari
2017-01-10,22.88,0.0,37.87,1.11,31.43,14.87,Ballari
2017-01-11,23.03,0.0,37.18,1.25,31.04,16.8,Ballari
2017-01-12,22.83,0.0,49.73,1.79,31.05,14.92,Ballari
2017-01-13,23.82,0.0,53.64,2.3,30.99,16.14,Ballari
2017-01-14,23.61,0.0,55.41,2.75,30.21,17.63,Ballari
2017-01-15,23.21,0.0,51.99,2.66,31.13,16.48,Ballari
2017-01-16,22.85,0.0,50.87,2.01,30.97,15.71,Ballari
2017-01-17,22.45,0.0,43.44,2.13,31.26,14.57,Ballari
2017-01-18,22.22,0.0,43.43,3.25,30.8,14.48,Ballari
2017-01-19,21.37,0.0,57.46,2.91,29.51,13.85,Ballari
2017-01-20,22.14,0.0,54.83,2.61,30.65,13.95,Ballari
2017-01-21,24.35,0.0,55.97,3.26,32.19,16.09,Ballari
2017-01-22,24.9,0.0,46.36,3.2,32.75,17.21,Ballari
2017-01-23,24.56,0.0,44.39,2.55,32.65,17.17,Ballari
2017-01-24,24.24,0.0,47.43,2.83,32.52,16.74,Ballari
2017-01-25,24.04,0.0,53.46,3.08,31.98,16.22,Ballari
2017-01-26,24.24,0.01,50.73,3.24,31.75,17.47,Ballari
2017-01-27,24.79,0.18,59.9,2.64,31.36,19.39,Ballari
2017-01-28,25.96,0.0,55.24,2.95,33.04,19.63,Ballari
2017-01-29,25.82,0.0,45.66,2.36,33.59,18.91,Ballari
2017-01-30,24.49,0.0,39.43,2.28,33.48,16.86,Ballari
2017-01-31,24.3,0.0,36.25,1.93,34.47,15.07,Ballari
2017-02-01,24.43,0.0,33.62,2.18,34.42,15.55,Ballari
2017-02-02,23.85,0.0,38.4,2.68,33.23,14.89,Ballari
2017-02-03,24.19,0.0,44.36,2.26,32.85,16.12,Ballari
2017-02-04,24.07,0.0,38.21,2.03,33.01,15.8,Ballari
2017-02-05,23.74,0.0,36.33,1.92,33.41,15.13,Ballari
2017-02-06,24.38,0.0,29.55,1.57,33.69,14.79,Ballari
2017-02-07,25.5,0.0,23.26,1.3,34.27,18.43,Ballari
2017-02-08,24.72,0.0,28.13,2.11,34.49,15.73,Ballari
2017-02-09,24.74,0.0,29.57,1.82,34.67,15.46,Ballari
2017-02-10,24.3,0.0,27.6,2.39,34.37,15.27,Ballari
2017-02-11,24.16,0.0,29.86,2.86,34.11,15.1,Ballari
2017-02-12,23.64,0.0,39.43,3.19,33.04,14.58,Ballari
2017-02-13,23.41,0.0,47.48,3.61,32.19,14.59,Ballari
2017-02-14,23.81,0.0,43.55,3.18,33.49,13.72,Ballari
2017-02-15,24.73,0.0,43.96,2.97,33.14,16.76,Ballari
2017-02-16,24.09,0.0,43.66,3.21,32.84,15.87,Ballari
2017-02-17,24.32,0.0,39.57,3.0,33.59,15.54,Ballari
2017-02-18,25.35,0.0,38.93,2.6,34.74,16.64,Ballari
2017-02-19,26.53,0.0,31.0,1.87,35.91,17.37,Ballari
2017-02-20,28.21,0.0,21.87,1.2,36.38,18.26,Ballari
2017-02-21,27.9,0.0,38.73,2.51,37.04,19.62,Ballari
2017-02-22,28.36,0.0,19.27,1.37,37.45,18.28,Ballari
2017-02-23,27.56,0.0,24.27,2.25,37.47,18.05,Ballari
2017-02-24,28.13,0.0,28.54,2.53,37.87,18.9,Ballari
2017-02-25,27.9,0.0,30.46,2.24,37.21,19.59,Ballari
2017-02-26,26.8,0.0,29.29,2.77,36.73,18.15,Ballari
2017-02-27,26.32,0.0,35.96,3.06,35.7,17.1,Ballari
2017-02-28,26.71,0.0,31.32,2.78,36.17,17.5,Ballari
2017-03-01,26.99,0.0,26.79,2.91,36.27,17.94,Ballari
2017-03-02,26.45,0.0,24.04,2.8,35.98,17.93,Ballari
2017-03-03,26.5,0.0,18.75,2.19,36.8,16.79,Ballari
2017-03-04,28.15,0.0,35.0,1.86,37.0,18.66,Ballari
2017-03-05,29.17,0.0,36.2,1.32,37.37,20.87,Ballari
2017-03-06,29.36,0.01,31.24,1.07,37.96,20.84,Ballari
2017-03-07,29.52,0.05,30.22,1.61,37.65,20.9,Ballari
2017-03-08,29.4,0.18,33.71,1.73,37.18,20.95,Ballari
2017-03-09,29.88,0.0,24.42,1.88,37.87,21.14,Ballari
2017-03-10,29.06,0.0,30.74,2.84,37.35,21.0,Ballari
2017-03-11,27.53,0.0,32.13,2.27,36.48,19.72,Ballari
2017-03-12,26.92,0.0,31.79,1.72,36.2,17.78,Ballari
2017-03-13,28.23,0.0,25.46,1.11,37.58,17.77,Ballari
2017-03-14,29.24,0.0,39.18,1.58,36.9,20.49,Ballari
2017-03-15,29.06,13.69,50.05,2.72,35.68,23.55,Ballari
2017-03-16,26.85,7.44,65.23,1.81,32.63,22.8,Ballari
