date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,21.95,0.0,47.36,1.83,32.76,15.02,Belagavi
2016-12-02,22.9,0.0,50.57,2.45,32.1,16.01,Belagavi
2016-12-03,24.53,0.0,67.0,2.72,31.94,18.65,Belagavi
2016-12-04,23.56,0.09,67.95,2.58,28.55,18.98,Belagavi
2016-12-05,23.92,0.03,67.83,2.12,30.07,19.55,Belagavi
2016-12-06,21.57,0.0,46.75,2.46,30.05,16.22,Belagavi
2016-12-07,20.93,0.0,50.5,2.43,30.49,13.69,Belagavi
2016-12-08,21.07,0.0,48.55,1.6,31.44,13.53,Belagavi
2016-12-09,19.9,0.0,42.93,1.58,30.75,11.96,Belagavi
2016-12-10,18.91,0.0,38.91,1.83,30.14,10.7,Belagavi
2016-12-11,19.26,0.0,39.54,1.92,29.74,10.43,Belagavi
2016-12-12,20.96,0.0,41.99,1.95,32.34,11.37,Belagavi
2016-12-13,22.68,0.03,52.77,3.52,30.77,15.51,Belagavi
2016-12-14,23.46,0.27,70.5,2.76,29.78,18.71,Belagavi
2016-12-15,24.21,0.02,67.26,2.68,31.31,18.94,Belagavi
2016-12-16,24.43,0.0,64.01,2.06,31.39,18.31,Belagavi
2016-12-17,24.26,0.0,63.1,1.29,31.87,17.82,Belagavi
2016-12-18,23.13,0.0,53.81,1.6,31.72,16.21,Belagavi
2016-12-19,22.25,0.0,43.59,1.77,31.93,14.95,Belagavi
2016-12-20,21.92,0.0,34.6,2.28,32.68,13.6,Belagavi
2016-12-21,21.64,0.0,34.76,1.89,33.13,13.28,Belagavi
2016-12-22,21.72,0.0,31.52,1.88,33.51,12.86,Belagavi
2016-12-23,21.39,0.0,31.81,1.71,33.15,12.12,Belagavi
2016-12-24,21.8,0.0,27.94,1.72,32.91,11.92,Belagavi
2016-12-25,21.52,0.0,39.87,1.31,33.17,12.22,Belagavi
2016-12-26,21.75,0.0,42.74,1.58,32.35,13.16,Belagavi
2016-12-27,21.36,0.0,33.06,2.56,32.08,13.62,Belagavi
2016-12-28,21.24,0.0,30.26,2.39,32.27,12.39,Belagavi
2016-12-29,21.66,0.0,37.37,2.55,32.12,13.87,Belagavi
2016-12-30,21.89,0.0,43.67,1.96,31.71,13.7,Belagavi
2016-12-31,21.79,0.0,45.71,1.47,31.54,13.69,Belagavi
2017-01-01,21.77,0.0,46.62,1.3,31.74,13.72,Belagavi
2017-01-02,22.36,0.0,46.27,0.94,31.57,14.85,Belagavi
2017-01-03,21.23,0.0,36.68,2.22,31.49,13.96,Belagavi
2017-01-04,21.04,0.0,27.83,1.92,31.88,12.94,Belagavi
2017-01-05,20.98,0.0,25.63,1.87,31.39,12.47,Belagavi
2017-01-06,20.62,0.0,30.25,1.6,31.94,12.04,Belagavi
2017-01-07,20.34,0.0,47.88,1.58,31.33,12.55,Belagavi
2017-01-08,20.12,0.0,54.73,1.61,31.25,11.69,Belagavi
2017-01-09,20.51,0.0,65.16,1.7,30.88,12.05,Belagavi
2017-01-10,21.24,0.0,60.34,1.33,30.87,13.73,Belagavi
2017-01-11,21.25,0.0,45.91,1.12,31.31,12.95,Belagavi
2017-01-12,21.11,0.0,38.35,1.29,30.96,12.97,Belagavi
2017-01-13,21.38,0.0,54.22,1.25,30.76,13.84,Belagavi
2017-01-14,22.14,0.0,60.27,1.72,30.69,14.91,Belagavi
2017-01-15,22.94,0.0,57.55,1.57,31.57,15.43,Belagavi
2017-01-16,22.95,0.0,51.51,1.06,31.46,15.41,Belagavi
2017-01-17,22.95,0.0,40.41,1.38,31.76,15.71,Belagavi
2017-01-18,22.5,0.0,33.67,2.53,31.47,15.76,Belagavi
2017-01-19,21.88,0.0,36.44,2.95,31.07,14.9,Belagavi
