date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,21.01,1.82,59.69,2.99,30.27,15.16,Bengaluru Urban
2016-12-02,22.2,6.68,73.62,3.46,30.38,16.63,Bengaluru Urban
2016-12-03,22.42,3.1,79.32,3.68,29.61,18.1,Bengaluru Urban
2016-12-04,23.17,0.15,70.86,2.75,30.8,18.17,Bengaluru Urban
2016-12-05,23.56,0.37,69.26,2.18,30.98,18.87,Bengaluru Urban
2016-12-06,22.03,0.0,64.67,2.79,30.15,16.65,Bengaluru Urban
2016-12-07,21.64,0.0,62.9,2.43,30.89,12.36,Bengaluru Urban
2016-12-08,23.26,0.0,63.23,1.74,31.54,17.15,Bengaluru Urban
2016-12-09,22.29,0.0,45.33,1.88,31.38,16.07,Bengaluru Urban
2016-12-10,20.58,0.0,25.82,2.24,30.57,12.53,Bengaluru Urban
2016-12-11,20.33,0.0,26.47,1.99,28.9,11.52,Bengaluru Urban
2016-12-12,20.29,37.44,54.39,4.04,25.86,16.45,Bengaluru Urban
2016-12-13,20.11,6.42,84.44,3.59,24.48,16.89,Bengaluru Urban
2016-12-14,22.02,0.8,78.03,3.4,27.77,18.35,Bengaluru Urban
2016-12-15,21.46,0.9,68.3,2.72,29.2,16.64,Bengaluru Urban
2016-12-16,21.27,3.1,76.92,2.7,28.3,16.67,Bengaluru Urban
2016-12-17,21.65,0.0,69.9,2.08,29.74,16.05,Bengaluru Urban
2016-12-18,21.06,0.0,66.85,1.94,29.85,14.99,Bengaluru Urban
2016-12-19,20.39,0.0,55.63,2.12,30.0,13.13,Bengaluru Urban
2016-12-20,20.66,0.0,55.6,2.29,30.57,13.24,Bengaluru Urban
2016-12-21,21.3,0.0,60.97,1.41,30.93,14.1,Bengaluru Urban
2016-12-22,20.73,0.0,50.43,1.75,30.8,14.48,Bengaluru Urban
2016-12-23,20.76,0.0,35.29,1.63,30.29,13.95,Bengaluru Urban
2016-12-24,19.68,0.0,45.64,1.6,30.66,12.43,Bengaluru Urban
2016-12-25,19.5,0.0,57.63,1.35,30.34,12.3,Bengaluru Urban
2016-12-26,20.31,0.0,48.31,1.95,30.78,12.6,Bengaluru Urban
2016-12-27,20.28,0.0,53.31,2.62,30.79,11.76,Bengaluru Urban
2016-12-28,20.48,0.0,56.54,2.47,30.99,12.43,Bengaluru Urban
2016-12-29,19.8,0.0,58.77,2.28,29.81,13.29,Bengaluru Urban
2016-12-30,19.48,0.0,62.52,2.39,29.04,13.37,Bengaluru Urban
2016-12-31,19.58,0.0,61.19,2.4,29.22,13.21,Bengaluru Urban
2017-01-01,19.48,0.0,62.29,2.12,29.02,12.08,Bengaluru Urban
2017-01-02,19.71,0.0,58.41,1.85,29.18,12.64,Bengaluru Urban
2017-01-03,19.79,0.0,50.68,2.28,29.35,12.11,Bengaluru Urban
2017-01-04,20.35,0.0,54.76,1.8,29.77,12.8,Bengaluru Urban
2017-01-05,20.17,0.0,56.68,1.89,29.89,13.11,Bengaluru Urban
2017-01-06,20.08,0.0,55.43,1.48,30.03,12.78,Bengaluru Urban
2017-01-07,20.49,0.0,57.13,1.41,29.55,12.91,Bengaluru Urban
2017-01-08,20.52,0.0,59.06,1.85,30.09,13.34,Bengaluru Urban
2017-01-09,20.77,0.0,55.52,1.63,29.93,13.96,Bengaluru Urban
2017-01-10,20.57,0.0,51.24,1.26,29.71,11.62,Bengaluru Urban
2017-01-11,21.07,0.0,54.04,1.22,29.76,12.81,Bengaluru Urban
2017-01-12,21.59,0.0,59.81,1.59,29.36,14.34,Bengaluru Urban
2017-01-13,22.23,0.0,60.93,2.31,29.35,16.3,Bengaluru Urban
2017-01-14,21.57,0.0,60.9,2.9,28.94,16.92,Bengaluru Urban
2017-01-15,21.1,0.0,57.57,2.79,30.08,13.91,Bengaluru Urban
2017-01-16,21.09,0.0,54.87,2.3,30.05,14.84,Bengaluru Urban
2017-01-17,20.29,0.0,50.01,2.49,30.21,12.3,Bengaluru Urban
2017-01-18,20.08,0.0,53.03,3.36,29.95,12.19,Bengaluru Urban
2017-01-19,20.02,0.0,61.01,3.55,29.15,12.84,Bengaluru Urban
2017-01-20,20.81,0.0,58.7,3.18,30.62,10.6,Bengaluru Urban
2017-01-21,22.36,0.01,67.31,3.99,30.26,15.62,Bengaluru Urban
2017-01-22,22.79,0.0,53.89,3.46,32.01,15.4,Bengaluru Urban
2017-01-23,21.62,0.0,42.4,3.49,31.09,12.96,Bengaluru Urban
2017-01-24,22.15,0.0,52.29,3.49,31.36,14.21,Bengaluru Urban
2017-01-25,22.04,0.0,55.26,3.44,30.89,14.07,Bengaluru Urban
2017-01-26,22.17,1.32,65.42,3.11,31.32,14.74,Bengaluru Urban
2017-01-27,22.55,3.24,75.02,2.71,28.64,18.26,Bengaluru Urban
2017-01-28,23.54,0.56,70.45,3.25,31.13,18.15,Bengaluru Urban
2017-01-29,23.74,0.01,57.05,2.8,32.35,15.75,Bengaluru Urban
2017-01-30,22.82,0.0,54.83,2.34,32.28,15.19,Bengaluru Urban
2017-01-31,23.02,0.0,50.15,2.37,33.46,16.02,Bengaluru Urban
2017-02-01,21.84,0.0,45.74,2.25,33.01,12.82,Bengaluru Urban
