date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,20.52,0.0,61.9,1.65,30.41,14.22,Bidar
2016-12-02,21.3,0.0,63.62,2.0,30.44,15.22,Bidar
2016-12-03,21.99,0.0,73.64,2.21,29.5,14.93,Bidar
2016-12-04,22.73,0.0,72.93,2.13,30.12,17.43,Bidar
2016-12-05,20.82,0.0,61.77,1.83,29.37,14.64,Bidar
2016-12-06,19.75,0.0,62.01,1.77,28.35,14.37,Bidar
2016-12-07,19.22,0.0,61.03,1.5,28.61,12.0,Bidar
2016-12-08,19.19,0.0,53.36,1.51,28.84,13.04,Bidar
2016-12-09,18.07,0.0,49.01,1.55,28.41,10.08,Bidar
2016-12-10,17.55,0.0,49.97,1.9,28.26,9.77,Bidar
2016-12-11,17.54,0.0,55.04,2.04,27.86,10.39,Bidar
2016-12-12,19.12,0.0,51.68,2.58,30.37,10.2,Bidar
2016-12-13,20.94,0.02,62.94,2.37,30.29,12.84,Bidar
2016-12-14,21.27,0.08,76.56,2.03,27.4,16.81,Bidar
2016-12-15,21.87,0.0,64.38,1.68,30.11,15.27,Bidar
2016-12-16,21.87,0.0,63.16,1.7,30.45,15.73,Bidar
2016-12-17,21.07,0.0,53.4,1.59,29.93,15.09,Bidar
2016-12-18,20.12,0.0,47.02,1.67,29.74,13.45,Bidar
2016-12-19,18.98,0.0,47.18,1.74,29.25,12.13,Bidar
2016-12-20,18.71,0.0,43.72,1.73,29.05,11.51,Bidar
2016-12-21,19.8,0.0,38.18,1.49,30.06,12.82,Bidar
2016-12-22,20.59,0.0,33.89,1.7,31.4,13.52,Bidar
2016-12-23,19.51,0.0,33.18,1.75,30.94,10.72,Bidar
2016-12-24,20.6,0.0,30.92,1.58,31.46,13.72,Bidar
2016-12-25,20.72,0.0,35.82,1.43,32.49,11.47,Bidar
2016-12-26,20.23,0.0,41.68,1.61,30.71,13.61,Bidar
2016-12-27,18.94,0.0,34.73,1.84,29.56,11.27,Bidar
2016-12-28,18.9,0.0,38.53,1.67,30.01,10.01,Bidar
2016-12-29,19.76,0.0,43.45,1.76,30.03,12.06,Bidar
2016-12-30,20.22,0.0,41.61,1.72,30.46,12.64,Bidar
2016-12-31,20.63,0.0,48.28,1.63,30.56,12.79,Bidar
2017-01-01,21.55,0.0,46.7,1.45,31.05,13.75,Bidar
2017-01-02,21.35,0.0,41.21,1.46,30.92,13.51,Bidar
2017-01-03,19.04,0.0,34.87,2.09,29.06,11.46,Bidar
2017-01-04,18.99,0.0,33.32,1.66,29.21,11.48,Bidar
2017-01-05,19.2,0.0,35.68,1.87,29.28,11.28,Bidar
2017-01-06,20.46,0.0,30.36,1.39,30.99,11.74,Bidar
2017-01-07,20.68,0.0,39.06,2.02,30.14,11.94,Bidar
2017-01-08,21.47,0.0,40.55,1.72,30.89,12.39,Bidar
2017-01-09,21.57,0.0,52.58,2.27,30.01,14.06,Bidar
2017-01-10,21.61,0.0,41.82,1.23,29.51,15.39,Bidar
2017-01-11,19.3,0.0,34.28,1.6,28.95,11.36,Bidar
2017-01-12,18.27,0.0,31.57,1.68,27.68,10.24,Bidar
2017-01-13,19.88,0.0,35.21,1.7,29.26,11.21,Bidar
2017-01-14,20.38,0.0,38.8,1.84,28.63,12.29,Bidar
2017-01-15,21.09,0.0,45.14,2.08,29.75,13.91,Bidar
2017-01-16,21.54,0.0,38.96,1.57,30.25,14.25,Bidar
2017-01-17,22.05,0.0,35.28,1.45,30.59,15.15,Bidar
2017-01-18,21.79,0.0,35.52,2.43,30.56,15.06,Bidar
2017-01-19,21.01,0.0,45.51,1.97,29.84,13.35,Bidar
2017-01-20,21.34,0.0,40.2,1.86,30.32,13.81,Bidar
2017-01-21,22.48,0.0,35.94,1.81,32.21,13.64,Bidar
2017-01-22,23.53,0.0,36.28,1.82,32.84,14.87,Bidar
2017-01-23,23.41,0.0,38.55,2.1,32.4,15.6,Bidar
2017-01-24,23.09,0.0,32.14,2.49,32.61,15.16,Bidar
2017-01-25,22.72,0.0,34.07,1.79,32.26,14.2,Bidar
2017-01-26,23.54,0.0,37.19,2.3,30.69,17.04,Bidar
2017-01-27,24.61,0.0,40.48,1.53,33.1,16.82,Bidar
2017-01-28,22.82,0.0,36.26,2.05,31.9,15.46,Bidar
2017-01-29,22.23,0.0,29.81,1.79,31.96,14.3,Bidar
2017-01-30,22.97,0.0,19.95,1.9,33.55,14.26,Bidar
2017-01-31,23.84,0.0,21.0,1.32,34.1,14.46,Bidar
2017-02-01,24.03,0.0,29.23,1.54,34.18,14.98,Bidar
2017-02-02,24.12,0.0,37.84,2.12,33.36,15.99,Bidar
2017-02-03,23.69,0.0,36.6,2.0,32.71,16.14,Bidar
2017-02-04,23.7,0.0,30.75,1.89,33.4,15.56,Bidar
2017-02-05,24.61,0.0,26.69,1.43,33.85,15.07,Bidar
2017-02-06,24.05,0.0,24.91,1.56,33.71,16.33,Bidar
2017-02-07,23.39,0.0,28.15,1.77,33.22,14.65,Bidar
2017-02-08,24.34,0.0,25.99,1.79,34.05,15.83,Bidar
2017-02-09,25.36,0.0,24.89,1.12,34.47,16.54,Bidar
2017-02-10,25.05,0.0,27.11,1.52,34.42,16.93,Bidar
2017-02-11,24.63,0.0,30.7,2.55,34.27,16.83,Bidar
2017-02-12,24.25,0.0,34.32,2.3,33.62,15.39,Bidar
2017-02-13,24.24,0.0,41.76,2.74,33.06,16.19,Bidar
2017-02-14,24.59,0.0,38.23,2.41,33.21,16.41,Bidar
2017-02-15,24.5,0.0,35.31,2.65,33.14,17.13,Bidar
2017-02-16,24.67,0.0,29.14,2.45,33.66,17.61,Bidar
2017-02-17,25.16,0.0,25.71,2.85,34.67,16.99,Bidar
2017-02-18,25.71,0.0,23.92,2.71,35.54,16.98,Bidar
2017-02-19,26.76,0.0,19.5,1.72,35.69,20.33,Bidar
2017-02-20,28.31,0.0,15.14,1.03,37.08,19.64,Bidar
2017-02-21,27.47,0.0,15.8,1.84,36.76,17.29,Bidar
2017-02-22,27.2,0.0,17.44,1.34,37.38,16.73,Bidar
2017-02-23,27.61,0.0,16.65,1.53,37.64,20.1,Bidar
2017-02-24,26.57,0.0,17.8,2.34,36.68,17.42,Bidar
2017-02-25,25.23,0.0,13.35,2.53,35.2,16.7,Bidar
2017-02-26,26.1,0.0,10.88,2.21,36.07,18.6,Bidar
2017-02-27,26.41,0.0,14.49,2.4,36.65,18.05,Bidar
2017-02-28,26.61,0.0,23.08,2.35,36.57,18.54,Bidar
2017-03-01,27.14,0.0,17.19,2.43,37.15,17.85,Bidar
2017-03-02,26.92,0.0,26.94,2.14,36.24,18.01,Bidar
2017-03-03,27.47,0.0,21.48,2.33,36.8,18.55,Bidar
2017-03-04,26.35,0.0,22.41,2.83,35.86,17.55,Bidar
2017-03-05,28.23,0.0,32.44,1.99,36.64,18.79,Bidar
2017-03-06,28.56,0.0,27.37,1.32,37.23,19.27,Bidar
2017-03-07,27.9,0.0,23.36,2.23,37.17,18.82,Bidar
2017-03-08,26.85,0.0,19.04,1.73,36.17,16.94,Bidar
2017-03-09,28.03,0.0,20.38,1.46,36.17,18.23,Bidar
2017-03-10,27.39,0.05,20.65,3.88,36.39,19.01,Bidar
2017-03-11,25.95,0.0,26.89,3.15,35.0,17.81,Bidar
2017-03-12,24.81,0.0,17.53,2.03,34.43,15.67,Bidar
2017-03-13,25.78,0.0,13.86,1.83,35.71,15.5,Bidar
2017-03-14,27.87,0.72,33.21,1.83,35.43,18.29,Bidar
2017-03-15,28.87,1.96,40.36,2.36,34.68,22.45,Bidar
2017-03-16,25.85,9.37,62.82,2.09,31.53,22.02,Bidar
2017-03-17,27.63,0.03,47.71,1.73,35.42,20.55,Bidar
2017-03-18,27.91,0.0,28.56,1.37,36.06,18.19,Bidar
2017-03-19,28.09,0.0,30.13,1.58,36.91,19.17,Bidar
2017-03-20,27.21,0.0,29.06,2.0,36.36,17.88,Bidar
2017-03-21,27.54,0.0,26.19,2.11,37.02,18.51,Bidar
2017-03-22,28.39,0.0,19.77,2.1,38.42,19.07,Bidar
2017-03-23,29.62,0.0,20.44,1.79,39.45,19.74,Bidar
2017-03-24,30.73,0.0,26.17,2.0,39.27,21.85,Bidar
2017-03-25,31.08,0.0,23.46,1.61,39.96,22.15,Bidar
2017-03-26,31.26,0.0,23.44,1.9,40.32,21.9,Bidar
2017-03-27,31.18,0.0,24.0,1.48,40.88,21.39,Bidar
