date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,21.23,1.56,56.83,2.91,29.05,15.23,Chikkaballapur
2016-12-02,22.2,9.23,73.1,3.22,29.65,16.9,Chikkaballapur
2016-12-03,22.45,4.08,79.28,3.36,29.6,17.87,Chikkaballapur
2016-12-04,23.07,0.29,72.96,2.7,30.57,18.11,Chikkaballapur
2016-12-05,23.43,0.34,70.67,2.29,30.73,18.7,Chikkaballapur
2016-12-06,21.38,0.0,69.12,2.68,29.1,16.35,Chikkaballapur
2016-12-07,21.42,0.0,64.81,2.2,30.58,12.48,Chikkaballapur
2016-12-08,22.39,0.0,63.64,1.92,30.59,16.62,Chikkaballapur
2016-12-09,21.25,0.0,41.28,1.89,29.91,14.85,Chikkaballapur
2016-12-10,19.42,0.0,29.45,2.14,29.31,12.13,Chikkaballapur
2016-12-11,19.44,0.01,31.25,1.9,26.63,12.67,Chikkaballapur
2016-12-12,19.46,37.76,58.45,3.58,24.25,15.24,Chikkaballapur
2016-12-13,20.74,4.12,83.52,4.27,25.37,17.84,Chikkaballapur
2016-12-14,21.95,0.32,76.78,3.2,28.04,17.9,Chikkaballapur
2016-12-15,21.25,3.45,71.01,2.58,29.29,15.99,Chikkaballapur
2016-12-16,21.34,3.57,77.76,2.63,28.5,16.88,Chikkaballapur
2016-12-17,21.27,0.0,72.35,2.04,29.0,16.02,Chikkaballapur
2016-12-18,20.48,0.0,68.44,2.05,28.62,14.68,Chikkaballapur
2016-12-19,19.6,0.0,58.1,2.12,28.61,12.94,Chikkaballapur
2016-12-20,19.96,0.0,56.21,2.08,29.9,12.74,Chikkaballapur
2016-12-21,20.63,0.0,62.47,1.42,30.34,13.6,Chikkaballapur
2016-12-22,20.78,0.0,45.56,1.8,29.65,15.13,Chikkaballapur
2016-12-23,20.66,0.0,35.52,1.64,29.36,14.25,Chikkaballapur
2016-12-24,19.3,0.0,44.5,1.84,29.8,12.56,Chikkaballapur
2016-12-25,18.88,0.0,57.86,1.74,29.92,10.31,Chikkaballapur
2016-12-26,19.8,0.0,50.37,2.13,29.64,12.81,Chikkaballapur
2016-12-27,19.47,0.0,55.39,2.45,29.73,11.93,Chikkaballapur
2016-12-28,19.81,0.0,59.6,2.28,30.32,11.75,Chikkaballapur
2016-12-29,19.22,0.0,62.29,2.18,28.99,12.7,Chikkaballapur
2016-12-30,19.11,0.0,66.91,2.29,28.31,13.0,Chikkaballapur
2016-12-31,19.1,0.0,65.65,2.26,28.41,12.64,Chikkaballapur
2017-01-01,19.21,0.0,62.42,1.95,28.85,11.25,Chikkaballapur
2017-01-02,19.36,0.0,58.64,1.96,28.63,11.98,Chikkaballapur
2017-01-03,19.63,0.0,53.57,2.25,28.92,12.65,Chikkaballapur
2017-01-04,19.96,0.0,57.22,1.84,29.05,12.78,Chikkaballapur
2017-01-05,19.74,0.0,56.27,1.87,29.31,12.65,Chikkaballapur
2017-01-06,19.54,0.0,54.28,1.67,29.49,11.5,Chikkaballapur
2017-01-07,20.08,0.0,55.56,1.77,29.8,12.4,Chikkaballapur
