date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,21.6,0.0,52.24,0.91,29.7,15.25,Chikkamagaluru
2016-12-02,21.46,2.38,70.55,0.96,27.8,16.31,Chikkamagaluru
2016-12-03,22.46,1.18,80.05,1.01,28.98,17.47,Chikkamagaluru
2016-12-04,23.27,0.14,73.78,0.92,29.24,19.02,Chikkamagaluru
2016-12-05,22.9,0.26,73.28,0.75,29.12,17.45,Chikkamagaluru
2016-12-06,22.04,0.02,66.77,0.92,28.83,16.82,Chikkamagaluru
2016-12-07,21.1,0.0,59.85,0.79,28.51,14.46,Chikkamagaluru
2016-12-08,21.58,0.0,67.79,0.65,28.99,14.75,Chikkamagaluru
2016-12-09,20.52,0.0,59.62,0.75,28.42,14.61,Chikkamagaluru
2016-12-10,18.82,0.0,51.14,0.76,27.73,12.69,Chikkamagaluru
2016-12-11,18.99,0.0,47.32,0.7,27.06,12.01,Chikkamagaluru
2016-12-12,20.37,3.17,56.98,0.8,27.78,12.84,Chikkamagaluru
2016-12-13,19.13,11.75,89.52,1.27,24.22,14.98,Chikkamagaluru
2016-12-14,20.47,3.57,90.52,0.86,24.54,17.76,Chikkamagaluru
2016-12-15,21.6,0.06,75.04,0.97,27.72,16.81,Chikkamagaluru
2016-12-16,21.07,0.0,73.36,0.95,27.64,14.62,Chikkamagaluru
2016-12-17,21.97,0.0,73.91,0.78,28.16,16.29,Chikkamagaluru
2016-12-18,21.06,0.0,66.71,0.82,28.34,14.97,Chikkamagaluru
2016-12-19,20.4,0.0,59.11,0.81,28.13,14.24,Chikkamagaluru
2016-12-20,19.97,0.0,52.59,0.97,28.95,13.14,Chikkamagaluru
2016-12-21,20.46,0.0,61.38,0.69,29.17,13.47,Chikkamagaluru
2016-12-22,20.39,0.0,49.73,0.82,29.3,13.39,Chikkamagaluru
2016-12-23,20.23,0.0,42.05,0.84,29.21,13.57,Chikkamagaluru
2016-12-24,19.63,0.0,44.06,0.78,29.14,11.64,Chikkamagaluru
2016-12-25,20.02,0.0,53.03,0.53,28.99,11.58,Chikkamagaluru
2016-12-26,19.78,0.0,50.46,0.91,28.89,11.35,Chikkamagaluru
2016-12-27,19.98,0.0,49.78,1.06,29.19,12.89,Chikkamagaluru
2016-12-28,20.41,0.0,48.53,0.87,29.94,12.63,Chikkamagaluru
2016-12-29,19.92,0.0,53.96,1.01,28.87,13.19,Chikkamagaluru
2016-12-30,19.53,0.0,55.6,0.9,28.38,12.06,Chikkamagaluru
2016-12-31,19.8,0.0,58.08,0.87,28.38,12.86,Chikkamagaluru
2017-01-01,19.36,0.0,57.42,0.77,28.13,12.17,Chikkamagaluru
2017-01-02,19.37,0.0,57.53,0.69,28.46,11.97,Chikkamagaluru
2017-01-03,20.12,0.0,51.28,0.82,28.89,12.59,Chikkamagaluru
2017-01-04,20.06,0.0,52.38,0.72,28.93,12.81,Chikkamagaluru
2017-01-05,19.99,0.0,51.43,0.75,28.89,13.09,Chikkamagaluru
2017-01-06,19.94,0.0,52.1,0.6,28.91,12.14,Chikkamagaluru
2017-01-07,19.92,0.0,61.61,0.59,28.72,12.32,Chikkamagaluru
2017-01-08,19.92,0.0,56.3,0.59,29.0,11.76,Chikkamagaluru
2017-01-09,19.66,0.0,63.83,0.74,27.93,12.87,Chikkamagaluru
2017-01-10,20.02,0.0,68.99,0.46,28.28,14.16,Chikkamagaluru
2017-01-11,20.15,0.0,65.19,0.52,28.67,13.53,Chikkamagaluru
2017-01-12,19.96,0.0,59.15,0.62,28.44,13.21,Chikkamagaluru
2017-01-13,20.45,0.0,67.88,0.54,28.55,13.58,Chikkamagaluru
2017-01-14,21.18,0.0,65.85,0.71,28.04,15.45,Chikkamagaluru
2017-01-15,21.01,0.0,59.97,0.82,29.15,14.66,Chikkamagaluru
2017-01-16,20.4,0.0,55.12,0.73,28.86,13.97,Chikkamagaluru
2017-01-17,20.2,0.0,45.76,0.9,28.9,13.08,Chikkamagaluru
2017-01-18,19.84,0.0,43.73,1.08,28.96,12.51,Chikkamagaluru
2017-01-19,19.32,0.0,51.87,1.15,28.05,11.81,Chikkamagaluru
2017-01-20,20.53,0.0,50.38,1.08,29.31,13.15,Chikkamagaluru
