date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,24.02,0.06,38.98,2.62,33.01,16.84,Chitradurga
2016-12-02,23.59,4.9,63.09,3.04,31.05,18.07,Chitradurga
2016-12-03,23.88,1.7,72.28,3.31,31.75,18.42,Chitradurga
2016-12-04,24.78,0.19,66.24,3.27,32.32,19.65,Chitradurga
2016-12-05,24.85,0.04,65.02,2.45,32.11,19.62,Chitradurga
2016-12-06,23.12,0.0,61.09,2.69,30.81,17.18,Chitradurga
2016-12-07,22.69,0.0,51.81,2.65,31.63,15.06,Chitradurga
2016-12-08,23.61,0.0,55.71,1.9,32.2,16.87,Chitradurga
2016-12-09,21.99,0.0,33.54,1.62,31.5,14.47,Chitradurga
2016-12-10,20.74,0.0,25.68,1.75,31.28,12.63,Chitradurga
2016-12-11,21.27,0.0,26.58,1.49,29.47,13.38,Chitradurga
2016-12-12,22.21,6.82,45.6,2.49,30.66,14.45,Chitradurga
2016-12-13,21.16,11.18,80.8,4.38,26.71,16.85,Chitradurga
2016-12-14,22.57,2.07,78.27,2.89,27.85,19.28,Chitradurga
2016-12-15,22.57,0.04,68.76,2.87,30.18,17.39,Chitradurga
2016-12-16,22.04,0.07,73.31,2.74,29.39,16.31,Chitradurga
2016-12-17,22.65,0.0,68.58,2.25,30.44,17.23,Chitradurga
2016-12-18,21.78,0.0,62.18,2.1,30.27,15.08,Chitradurga
2016-12-19,21.04,0.0,54.08,2.06,30.36,14.02,Chitradurga
2016-12-20,20.32,0.0,49.26,2.42,30.66,12.5,Chitradurga
2016-12-21,21.18,0.0,55.35,1.7,31.63,12.67,Chitradurga
2016-12-22,21.59,0.0,40.63,1.89,31.88,13.81,Chitradurga
2016-12-23,21.89,0.0,29.77,1.67,32.27,15.46,Chitradurga
2016-12-24,20.68,0.0,33.57,2.06,31.72,12.14,Chitradurga
2016-12-25,21.18,0.0,41.92,2.04,32.28,12.13,Chitradurga
2016-12-26,21.26,0.0,38.61,2.3,31.68,12.31,Chitradurga
2016-12-27,21.27,0.0,42.74,2.75,31.61,13.18,Chitradurga
2016-12-28,21.33,0.0,42.51,2.5,32.43,12.03,Chitradurga
2016-12-29,20.94,0.0,52.35,2.67,30.79,12.94,Chitradurga
2016-12-30,20.77,0.0,55.86,2.51,30.4,12.41,Chitradurga
2016-12-31,20.9,0.0,55.72,2.55,30.21,13.14,Chitradurga
2017-01-01,20.66,0.0,46.8,2.37,30.6,12.62,Chitradurga
