date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,25.79,0.01,59.04,1.33,31.65,21.19,Dakshina Kannada
2016-12-02,26.34,1.08,65.43,1.19,31.22,21.81,Dakshina Kannada
2016-12-03,26.7,2.0,75.59,1.58,31.31,23.32,Dakshina Kannada
2016-12-04,26.38,1.03,80.29,1.96,29.99,24.24,Dakshina Kannada
2016-12-05,26.58,0.54,76.16,1.16,30.34,23.75,Dakshina Kannada
2016-12-06,26.92,0.13,69.35,1.39,31.47,23.36,Dakshina Kannada
2016-12-07,25.89,0.0,65.69,1.63,30.91,21.77,Dakshina Kannada
2016-12-08,26.12,0.0,65.44,1.12,30.81,22.42,Dakshina Kannada
2016-12-09,25.76,0.0,65.79,1.59,30.63,22.2,Dakshina Kannada
2016-12-10,24.55,0.0,59.1,1.9,30.89,19.74,Dakshina Kannada
2016-12-11,24.01,0.0,56.64,1.74,30.19,18.12,Dakshina Kannada
2016-12-12,25.02,0.67,58.28,2.08,30.36,20.02,Dakshina Kannada
2016-12-13,23.97,6.96,78.52,2.08,28.35,20.92,Dakshina Kannada
2016-12-14,24.99,4.49,83.35,2.76,28.71,22.28,Dakshina Kannada
2016-12-15,26.41,0.53,77.14,1.72,30.72,23.18,Dakshina Kannada
2016-12-16,26.21,0.03,68.0,1.73,31.08,21.86,Dakshina Kannada
2016-12-17,26.57,0.06,73.39,1.18,30.93,23.29,Dakshina Kannada
2016-12-18,26.66,0.01,67.87,1.05,31.55,22.66,Dakshina Kannada
2016-12-19,25.78,0.0,64.3,1.37,31.45,20.78,Dakshina Kannada
2016-12-20,25.53,0.0,61.23,1.34,32.45,18.93,Dakshina Kannada
2016-12-21,26.02,0.0,62.58,1.73,32.16,20.93,Dakshina Kannada
2016-12-22,25.84,0.0,59.8,1.53,32.29,20.14,Dakshina Kannada
2016-12-23,25.48,0.0,52.18,1.62,31.99,20.29,Dakshina Kannada
2016-12-24,24.96,0.0,54.66,1.38,31.18,19.16,Dakshina Kannada
2016-12-25,25.25,0.0,66.39,1.36,30.33,20.28,Dakshina Kannada
2016-12-26,25.69,0.0,62.39,1.61,31.35,21.31,Dakshina Kannada
2016-12-27,25.83,0.0,53.18,1.39,32.9,19.6,Dakshina Kannada
2016-12-28,26.1,0.0,52.28,1.84,33.1,20.21,Dakshina Kannada
2016-12-29,26.09,0.0,56.02,1.72,32.73,20.52,Dakshina Kannada
2016-12-30,25.51,0.0,54.69,1.88,32.12,19.79,Dakshina Kannada
2016-12-31,25.5,0.0,58.08,1.72,31.55,20.03,Dakshina Kannada
2017-01-01,25.46,0.0,59.67,1.53,30.83,20.49,Dakshina Kannada
2017-01-02,25.56,0.0,59.35,1.47,30.62,20.76,Dakshina Kannada
2017-01-03,26.14,0.0,54.83,1.66,32.18,20.43,Dakshina Kannada
2017-01-04,26.0,0.0,57.93,1.4,31.83,20.73,Dakshina Kannada
2017-01-05,26.0,0.0,56.2,1.36,32.09,20.64,Dakshina Kannada
2017-01-06,25.7,0.0,61.26,1.41,30.89,20.76,Dakshina Kannada
2017-01-07,26.02,0.0,63.43,1.74,30.84,22.52,Dakshina Kannada
2017-01-08,25.03,0.0,61.4,2.27,30.76,20.43,Dakshina Kannada
2017-01-09,24.98,0.0,64.58,2.05,29.99,20.82,Dakshina Kannada
2017-01-10,25.19,0.0,63.98,2.15,30.12,21.2,Dakshina Kannada
