date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.78,0.0,40.29,2.43,33.09,16.55,Davanagere
2016-12-02,24.53,2.3,56.89,3.01,32.99,17.04,Davanagere
2016-12-03,24.9,0.9,67.63,3.39,32.83,18.84,Davanagere
2016-12-04,24.88,0.86,67.29,2.97,31.42,20.19,Davanagere
2016-12-05,24.95,0.18,65.57,2.2,31.9,19.37,Davanagere
2016-12-06,23.58,0.0,55.98,2.87,31.55,17.53,Davanagere
2016-12-07,22.85,0.0,50.22,2.63,32.05,15.82,Davanagere
2016-12-08,23.67,0.0,51.88,1.68,32.8,16.22,Davanagere
2016-12-09,21.74,0.0,36.56,1.51,31.89,13.07,Davanagere
2016-12-10,20.45,0.0,34.78,1.62,31.42,11.27,Davanagere
2016-12-11,20.26,0.0,33.38,1.68,29.85,11.48,Davanagere
2016-12-12,22.72,0.36,41.73,2.44,32.51,13.05,Davanagere
2016-12-13,22.7,5.61,71.09,4.54,29.79,17.53,Davanagere
2016-12-14,23.24,2.11,78.18,3.1,28.61,19.85,Davanagere
2016-12-15,23.48,0.06,67.88,3.14,31.09,18.08,Davanagere
2016-12-16,23.58,0.0,69.61,2.94,30.9,18.13,Davanagere
2016-12-17,23.98,0.0,64.69,2.11,31.97,17.46,Davanagere
2016-12-18,23.15,0.0,55.48,2.09,31.91,16.04,Davanagere
2016-12-19,22.41,0.0,46.48,2.22,32.2,14.82,Davanagere
2016-12-20,21.61,0.0,41.79,2.54,31.81,13.25,Davanagere
2016-12-21,22.28,0.0,44.33,1.75,32.99,12.98,Davanagere
2016-12-22,22.27,0.0,34.75,2.02,33.49,13.69,Davanagere
2016-12-23,22.43,0.0,26.77,1.77,33.41,13.27,Davanagere
2016-12-24,21.64,0.0,29.63,2.07,32.9,12.5,Davanagere
2016-12-25,21.87,0.0,37.6,1.27,33.29,12.17,Davanagere
2016-12-26,22.32,0.0,36.12,2.05,32.66,13.68,Davanagere
2016-12-27,22.04,0.0,39.06,2.91,32.62,13.75,Davanagere
2016-12-28,21.98,0.0,36.26,2.62,33.24,12.44,Davanagere
2016-12-29,21.9,0.0,47.14,2.97,32.03,13.8,Davanagere
2016-12-30,21.99,0.0,49.6,2.66,31.67,13.8,Davanagere
2016-12-31,22.05,0.0,50.67,2.6,31.41,14.5,Davanagere
2017-01-01,21.58,0.0,41.99,2.5,31.47,13.88,Davanagere
2017-01-02,21.81,0.0,44.68,2.0,31.68,12.86,Davanagere
