date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.14,0.0,38.12,1.98,33.27,15.12,Dharwad
2016-12-02,23.88,0.03,51.78,2.42,32.52,16.61,Dharwad
2016-12-03,25.18,0.07,64.36,3.01,32.46,20.07,Dharwad
2016-12-04,24.08,0.45,66.0,2.78,29.29,19.79,Dharwad
2016-12-05,24.58,0.41,63.41,2.17,31.4,19.5,Dharwad
2016-12-06,21.39,0.0,44.88,2.5,29.42,15.35,Dharwad
2016-12-07,21.22,0.0,47.12,2.25,31.04,13.57,Dharwad
2016-12-08,22.0,0.0,41.09,1.63,32.16,13.82,Dharwad
2016-12-09,20.71,0.0,36.15,1.49,31.45,11.9,Dharwad
2016-12-10,19.69,0.0,32.62,1.7,31.03,10.5,Dharwad
2016-12-11,19.16,0.0,36.2,1.81,29.36,10.39,Dharwad
2016-12-12,21.43,0.0,39.14,2.29,32.56,11.77,Dharwad
2016-12-13,23.18,0.45,54.98,3.65,30.38,17.56,Dharwad
2016-12-14,23.41,1.48,72.42,2.69,29.51,19.08,Dharwad
2016-12-15,24.06,0.12,65.36,2.7,31.52,18.52,Dharwad
2016-12-16,24.65,0.0,63.86,2.5,31.82,19.22,Dharwad
2016-12-17,24.81,0.0,58.77,1.43,32.29,17.84,Dharwad
2016-12-18,23.48,0.0,50.03,1.73,31.99,16.13,Dharwad
2016-12-19,22.34,0.0,40.14,1.84,32.25,14.44,Dharwad
2016-12-20,21.54,0.0,35.89,2.08,32.63,12.62,Dharwad
2016-12-21,21.82,0.0,33.82,1.62,33.24,12.16,Dharwad
2016-12-22,21.8,0.0,26.94,1.89,33.29,12.01,Dharwad
2016-12-23,21.75,0.0,25.44,1.74,33.22,12.12,Dharwad
2016-12-24,21.72,0.0,23.02,1.99,32.82,11.72,Dharwad
2016-12-25,22.0,0.0,30.33,0.91,33.45,11.71,Dharwad
2016-12-26,22.44,0.0,32.37,1.7,32.38,14.11,Dharwad
2016-12-27,21.43,0.0,32.81,2.39,32.22,12.89,Dharwad
2016-12-28,21.2,0.0,31.27,2.22,32.62,11.54,Dharwad
2016-12-29,21.55,0.0,41.2,2.43,32.01,13.18,Dharwad
2016-12-30,21.79,0.0,46.14,2.06,31.74,13.46,Dharwad
2016-12-31,21.77,0.0,47.77,1.93,31.46,13.74,Dharwad
2017-01-01,21.93,0.0,40.7,1.96,31.61,13.54,Dharwad
2017-01-02,22.08,0.0,35.42,1.42,31.71,13.19,Dharwad
2017-01-03,21.8,0.0,35.75,2.11,31.99,13.81,Dharwad
2017-01-04,21.31,0.0,27.27,1.86,31.82,12.49,Dharwad
2017-01-05,20.82,0.0,25.29,1.95,31.37,11.67,Dharwad
