date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.4,0.0,33.55,2.26,32.7,16.05,Gadag
2016-12-02,24.8,0.31,49.77,2.9,32.96,17.83,Gadag
2016-12-03,25.57,0.29,62.88,3.49,32.78,19.86,Gadag
2016-12-04,25.02,0.7,62.47,3.13,30.6,20.06,Gadag
2016-12-05,25.25,0.75,57.4,2.57,32.87,19.82,Gadag
2016-12-06,22.31,0.0,40.76,2.71,30.03,15.64,Gadag
2016-12-07,22.11,0.0,44.43,2.4,31.48,14.55,Gadag
2016-12-08,22.49,0.0,34.62,1.85,32.72,14.48,Gadag
2016-12-09,21.29,0.0,27.51,1.73,32.08,12.57,Gadag
2016-12-10,20.21,0.0,25.68,1.95,31.61,10.95,Gadag
2016-12-11,19.74,0.0,29.21,1.92,28.99,11.52,Gadag
2016-12-12,22.5,0.01,32.42,2.83,32.57,12.86,Gadag
2016-12-13,23.59,1.41,56.48,4.51,30.46,18.65,Gadag
2016-12-14,24.05,1.74,67.64,3.2,30.43,19.27,Gadag
2016-12-15,24.38,0.32,65.27,2.96,31.44,18.88,Gadag
2016-12-16,25.14,0.0,61.76,2.91,31.95,19.93,Gadag
2016-12-17,24.73,0.0,57.17,1.93,32.61,18.19,Gadag
2016-12-18,23.41,0.0,46.61,1.97,32.07,16.05,Gadag
2016-12-19,22.52,0.0,35.0,2.02,32.34,14.42,Gadag
2016-12-20,21.63,0.0,33.46,2.15,32.1,12.89,Gadag
2016-12-21,21.94,0.0,31.87,1.69,33.19,12.61,Gadag
2016-12-22,21.98,0.0,22.31,2.0,33.34,12.46,Gadag
2016-12-23,21.99,0.0,21.11,1.85,33.32,12.79,Gadag
2016-12-24,21.57,0.0,20.09,2.17,32.63,12.17,Gadag
2016-12-25,22.16,0.0,28.02,1.48,33.56,12.06,Gadag
2016-12-26,22.44,0.0,29.71,1.86,32.18,15.1,Gadag
2016-12-27,21.5,0.0,32.48,2.51,31.93,13.0,Gadag
2016-12-28,21.16,0.0,33.89,2.34,32.08,11.75,Gadag
2016-12-29,21.6,0.0,45.29,2.49,31.48,13.3,Gadag
