date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,22.94,0.13,44.14,2.06,31.53,16.37,Hassan
2016-12-02,22.57,3.42,65.08,2.25,29.79,17.42,Hassan
2016-12-03,22.99,1.58,75.74,2.77,30.42,18.03,Hassan
2016-12-04,23.64,0.08,64.82,2.26,30.8,18.78,Hassan
2016-12-05,23.82,0.02,64.85,1.49,30.75,18.17,Hassan
2016-12-06,22.78,0.0,59.88,2.12,30.61,17.15,Hassan
2016-12-07,21.63,0.0,51.61,1.54,30.48,13.64,Hassan
2016-12-08,22.63,0.0,60.31,1.07,30.42,15.38,Hassan
2016-12-09,21.82,0.0,45.81,1.35,30.8,15.51,Hassan
2016-12-10,20.12,0.0,32.02,1.58,30.23,12.51,Hassan
2016-12-11,19.82,0.0,29.22,1.29,28.77,11.34,Hassan
2016-12-12,21.38,16.26,47.81,2.14,29.06,15.05,Hassan
2016-12-13,18.78,16.9,88.5,2.57,22.72,15.64,Hassan
2016-12-14,20.78,3.9,86.79,2.16,25.14,18.03,Hassan
2016-12-15,21.15,0.06,73.16,2.06,27.8,15.95,Hassan
2016-12-16,20.71,0.06,75.06,1.92,28.16,14.15,Hassan
2016-12-17,21.78,0.0,71.4,1.65,28.85,16.46,Hassan
2016-12-18,20.77,0.0,67.42,1.53,29.14,14.24,Hassan
2016-12-19,20.22,0.0,58.52,1.55,29.12,14.18,Hassan
2016-12-20,20.11,0.0,55.77,1.78,30.23,12.94,Hassan
2016-12-21,20.8,0.0,65.18,1.22,30.14,13.1,Hassan
2016-12-22,20.37,0.0,53.47,1.4,30.29,13.66,Hassan
2016-12-23,20.87,0.0,36.97,1.2,30.1,14.36,Hassan
2016-12-24,19.61,0.0,45.23,1.33,29.94,11.49,Hassan
2016-12-25,19.67,0.0,54.28,1.11,29.7,10.73,Hassan
2016-12-26,19.78,0.0,47.04,1.59,30.07,11.63,Hassan
2016-12-27,19.79,0.0,51.9,1.93,30.48,11.95,Hassan
2016-12-28,20.12,0.0,55.52,1.7,30.85,11.39,Hassan
2016-12-29,19.56,0.0,56.66,1.72,29.84,12.49,Hassan
2016-12-30,19.03,0.0,58.33,1.67,29.26,11.33,Hassan
2016-12-31,19.44,0.0,58.01,1.65,29.49,12.15,Hassan
2017-01-01,19.31,0.0,57.73,1.44,29.07,10.99,Hassan
2017-01-02,19.62,0.0,58.88,1.23,29.3,11.9,Hassan
2017-01-03,20.37,0.0,46.5,1.5,30.01,12.93,Hassan
2017-01-04,20.39,0.0,49.68,1.33,30.19,12.21,Hassan
2017-01-05,20.21,0.0,51.3,1.4,30.14,11.94,Hassan
2017-01-06,20.36,0.0,50.05,0.98,30.02,11.56,Hassan
2017-01-07,20.57,0.0,48.52,0.85,29.88,11.5,Hassan
2017-01-08,20.72,0.0,50.24,1.31,30.21,12.06,Hassan
2017-01-09,20.87,0.0,53.6,1.22,29.29,12.8,Hassan
2017-01-10,20.99,0.0,47.35,0.71,29.64,13.48,Hassan
2017-01-11,20.96,0.0,49.19,1.03,29.67,13.54,Hassan
2017-01-12,21.41,0.0,52.35,1.06,29.77,13.08,Hassan
2017-01-13,22.52,0.0,53.96,0.53,30.18,15.14,Hassan
2017-01-14,21.97,0.0,57.15,1.88,29.22,16.67,Hassan
2017-01-15,21.31,0.0,53.64,1.87,30.07,13.87,Hassan
2017-01-16,20.68,0.0,51.91,1.57,29.79,13.35,Hassan
2017-01-17,20.1,0.0,42.5,1.81,29.98,11.86,Hassan
2017-01-18,19.87,0.0,46.44,2.21,30.1,11.27,Hassan
2017-01-19,19.49,0.0,56.03,2.34,29.06,11.53,Hassan
2017-01-20,20.63,0.0,51.66,2.07,30.51,11.6,Hassan
2017-01-21,22.61,0.02,65.07,2.61,31.15,14.89,Hassan
2017-01-22,23.23,0.0,54.34,2.29,31.42,15.79,Hassan
2017-01-23,22.18,0.0,39.29,2.55,31.84,13.78,Hassan
2017-01-24,22.04,0.0,49.05,2.46,31.68,13.21,Hassan
2017-01-25,22.46,0.0,49.7,2.31,31.14,14.08,Hassan
2017-01-26,22.78,0.4,56.49,1.73,31.79,15.33,Hassan
2017-01-27,23.11,1.0,69.79,1.78,29.13,18.3,Hassan
2017-01-28,24.01,1.79,66.46,2.56,30.76,19.15,Hassan
2017-01-29,24.96,0.01,56.3,2.26,32.74,18.07,Hassan
2017-01-30,23.65,0.0,49.5,1.83,32.62,16.26,Hassan
2017-01-31,22.82,0.0,46.02,1.51,33.12,14.48,Hassan
2017-02-01,22.24,0.0,40.29,1.5,32.56,13.48,Hassan
2017-02-02,21.52,0.0,37.77,1.63,31.97,12.54,Hassan
2017-02-03,21.5,0.0,45.37,1.82,31.33,12.61,Hassan
2017-02-04,21.96,0.0,42.66,1.87,31.83,13.59,Hassan
2017-02-05,22.14,0.0,40.19,1.12,31.9,12.94,Hassan
2017-02-06,22.02,0.0,36.63,1.24,31.83,12.77,Hassan
2017-02-07,22.4,0.0,28.86,1.17,32.33,12.5,Hassan
2017-02-08,22.66,0.0,32.73,1.59,33.03,13.45,Hassan
2017-02-09,22.75,0.0,32.56,1.4,33.35,13.33,Hassan
2017-02-10,22.61,0.0,36.17,1.45,32.87,13.23,Hassan
2017-02-11,23.03,0.0,41.99,1.02,32.83,14.61,Hassan
2017-02-12,22.41,0.0,38.87,1.99,32.25,13.75,Hassan
2017-02-13,21.76,0.0,44.29,2.57,31.55,13.66,Hassan
2017-02-14,23.28,0.0,53.05,3.08,32.66,13.6,Hassan
