date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.66,0.0,36.49,2.31,32.84,16.62,Haveri
2016-12-02,25.11,0.98,52.52,2.99,33.3,17.76,Haveri
2016-12-03,25.47,0.57,64.41,3.4,32.94,19.54,Haveri
2016-12-04,24.89,0.91,64.45,3.08,30.32,20.31,Haveri
2016-12-05,25.14,0.68,61.86,2.32,32.2,19.69,Haveri
2016-12-06,23.21,0.0,46.5,2.79,31.41,16.51,Haveri
2016-12-07,22.71,0.0,48.03,2.46,31.87,15.49,Haveri
2016-12-08,23.26,0.0,43.03,1.8,32.71,15.64,Haveri
2016-12-09,21.67,0.0,31.11,1.61,32.03,12.94,Haveri
2016-12-10,20.49,0.0,27.11,1.74,31.75,11.27,Haveri
2016-12-11,20.17,0.0,29.68,1.84,29.74,11.95,Haveri
2016-12-12,23.07,0.05,34.9,2.75,32.81,13.43,Haveri
2016-12-13,23.4,3.03,62.56,4.83,30.32,18.39,Haveri
2016-12-14,23.97,2.12,72.09,3.29,30.13,19.66,Haveri
2016-12-15,24.14,0.15,66.03,2.91,31.56,18.45,Haveri
2016-12-16,24.65,0.0,65.66,2.8,31.7,19.47,Haveri
2016-12-17,24.53,0.0,60.69,2.0,32.43,18.05,Haveri
2016-12-18,23.51,0.0,52.65,2.01,32.1,16.26,Haveri
2016-12-19,22.76,0.0,40.84,2.11,32.36,14.95,Haveri
2016-12-20,21.75,0.0,39.35,2.28,31.77,13.28,Haveri
2016-12-21,22.24,0.0,41.21,1.69,33.12,12.83,Haveri
2016-12-22,22.39,0.0,27.31,2.01,33.44,13.2,Haveri
2016-12-23,22.54,0.0,22.96,1.86,33.52,13.31,Haveri
2016-12-24,21.88,0.0,24.69,2.15,32.79,12.78,Haveri
2016-12-25,22.38,0.0,31.48,1.41,33.53,11.86,Haveri
2016-12-26,22.56,0.0,32.46,1.99,32.44,14.6,Haveri
2016-12-27,21.99,0.0,37.65,2.68,32.25,13.78,Haveri
2016-12-28,21.76,0.0,35.73,2.45,32.74,12.36,Haveri
2016-12-29,21.95,0.0,47.21,2.65,31.73,13.68,Haveri
2016-12-30,22.19,0.0,49.42,2.41,31.49,14.27,Haveri
2016-12-31,22.05,0.0,50.78,2.36,31.12,14.59,Haveri
2017-01-01,21.71,0.0,41.96,2.41,31.18,14.04,Haveri
2017-01-02,21.95,0.0,43.07,1.96,31.54,13.3,Haveri
2017-01-03,22.56,0.0,38.4,2.17,32.26,14.51,Haveri
2017-01-04,22.04,0.0,34.0,2.03,31.72,13.64,Haveri
2017-01-05,21.51,0.0,29.93,2.12,31.45,12.75,Haveri
2017-01-06,22.13,0.0,26.42,1.26,32.24,12.66,Haveri
2017-01-07,22.59,0.0,32.95,0.64,32.06,14.36,Haveri
2017-01-08,22.36,0.0,37.27,0.85,32.54,14.3,Haveri
2017-01-09,22.5,0.0,47.34,1.07,31.23,14.15,Haveri
2017-01-10,22.71,0.0,49.6,1.16,31.36,14.98,Haveri
2017-01-11,22.31,0.0,40.02,1.64,31.17,14.04,Haveri
2017-01-12,22.56,0.0,39.57,1.34,31.38,14.15,Haveri
2017-01-13,23.67,0.0,43.73,0.72,31.45,15.81,Haveri
2017-01-14,24.07,0.0,50.82,2.23,30.78,17.57,Haveri
2017-01-15,23.48,0.0,48.92,2.49,31.74,16.37,Haveri
2017-01-16,23.08,0.0,44.43,2.1,31.57,15.79,Haveri
2017-01-17,22.92,0.0,38.15,2.36,31.53,15.31,Haveri
2017-01-18,22.53,0.0,36.15,3.26,31.3,14.97,Haveri
2017-01-19,21.52,0.0,48.41,3.29,30.04,13.37,Haveri
2017-01-20,22.3,0.0,46.73,3.1,30.9,14.38,Haveri
2017-01-21,24.31,0.0,51.19,3.24,32.68,16.04,Haveri
2017-01-22,25.68,0.0,41.79,3.66,33.29,18.97,Haveri
