date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,21.16,0.0,57.96,1.88,31.76,13.97,Kalaburagi
2016-12-02,22.84,0.0,57.51,2.45,32.04,15.94,Kalaburagi
2016-12-03,23.41,0.0,68.25,2.91,30.69,17.01,Kalaburagi
2016-12-04,24.08,0.0,70.37,2.56,31.01,18.73,Kalaburagi
2016-12-05,22.42,0.0,57.27,2.38,30.9,16.52,Kalaburagi
2016-12-06,20.92,0.0,52.84,2.23,29.6,14.88,Kalaburagi
2016-12-07,20.2,0.0,55.48,1.85,29.79,12.77,Kalaburagi
2016-12-08,20.07,0.0,47.94,1.75,30.23,12.68,Kalaburagi
2016-12-09,19.14,0.0,42.28,1.81,29.81,11.11,Kalaburagi
2016-12-10,18.64,0.0,42.01,2.17,29.64,9.97,Kalaburagi
2016-12-11,18.54,0.0,47.52,2.23,28.93,10.49,Kalaburagi
2016-12-12,20.43,0.0,44.3,2.95,31.56,11.95,Kalaburagi
2016-12-13,22.5,0.27,58.23,3.17,31.15,15.05,Kalaburagi
2016-12-14,22.73,0.32,75.17,2.46,28.93,17.66,Kalaburagi
2016-12-15,23.72,0.0,61.28,2.16,31.19,17.95,Kalaburagi
2016-12-16,23.6,0.0,63.57,2.04,31.18,17.66,Kalaburagi
2016-12-17,22.61,0.0,50.43,1.74,31.59,15.55,Kalaburagi
2016-12-18,21.59,0.0,43.42,1.91,31.1,14.17,Kalaburagi
2016-12-19,20.58,0.0,39.94,2.05,30.89,12.63,Kalaburagi
2016-12-20,20.16,0.0,37.71,1.95,30.76,12.04,Kalaburagi
2016-12-21,20.31,0.0,35.48,1.53,31.56,12.0,Kalaburagi
2016-12-22,21.11,0.0,30.35,1.91,32.79,12.48,Kalaburagi
2016-12-23,20.75,0.0,27.82,1.92,32.79,11.7,Kalaburagi
2016-12-24,21.32,0.0,26.7,1.76,32.91,13.33,Kalaburagi
2016-12-25,21.52,0.0,32.05,1.22,32.64,11.64,Kalaburagi
2016-12-26,21.12,0.0,38.06,1.72,32.03,12.56,Kalaburagi
2016-12-27,20.6,0.0,30.17,2.23,31.39,12.25,Kalaburagi
2016-12-28,20.31,0.0,31.4,1.8,31.08,11.6,Kalaburagi
2016-12-29,20.67,0.0,41.77,1.93,31.18,12.51,Kalaburagi
2016-12-30,21.0,0.0,41.36,1.75,31.29,12.85,Kalaburagi
2016-12-31,21.3,0.0,48.02,1.53,31.03,13.33,Kalaburagi
2017-01-01,22.17,0.0,46.61,1.29,31.08,13.67,Kalaburagi
2017-01-02,21.89,0.0,37.93,1.16,31.15,13.24,Kalaburagi
2017-01-03,20.63,0.0,30.94,2.61,30.38,13.32,Kalaburagi
2017-01-04,20.24,0.0,28.73,1.87,30.66,11.8,Kalaburagi
2017-01-05,20.28,0.0,29.64,2.03,30.54,11.96,Kalaburagi
2017-01-06,21.73,0.0,26.48,1.22,31.35,12.06,Kalaburagi
2017-01-07,20.52,0.0,35.94,1.73,29.91,11.73,Kalaburagi
2017-01-08,21.18,0.0,39.73,1.8,30.61,12.57,Kalaburagi
2017-01-09,21.62,0.0,50.54,1.88,29.62,13.21,Kalaburagi
2017-01-10,22.23,0.0,40.25,0.87,30.39,15.0,Kalaburagi
2017-01-11,20.8,0.0,30.87,1.87,30.06,13.32,Kalaburagi
2017-01-12,19.96,0.0,27.06,1.96,29.26,12.42,Kalaburagi
2017-01-13,21.17,0.0,35.58,1.81,29.61,12.87,Kalaburagi
2017-01-14,21.58,0.0,41.3,2.32,28.69,14.2,Kalaburagi
2017-01-15,22.44,0.0,46.06,2.13,30.38,15.34,Kalaburagi
2017-01-16,22.46,0.0,38.68,1.52,30.6,15.22,Kalaburagi
2017-01-17,22.73,0.0,35.47,1.3,31.2,15.38,Kalaburagi
2017-01-18,22.03,0.0,34.82,2.51,30.92,14.89,Kalaburagi
2017-01-19,21.3,0.0,46.02,1.98,30.18,13.55,Kalaburagi
2017-01-20,21.7,0.0,39.93,2.04,30.81,13.81,Kalaburagi
2017-01-21,23.01,0.0,34.84,2.1,32.48,14.72,Kalaburagi
2017-01-22,24.17,0.0,36.16,1.93,33.76,15.31,Kalaburagi
2017-01-23,24.17,0.0,37.21,2.14,33.24,16.08,Kalaburagi
2017-01-24,24.1,0.0,31.81,2.79,33.6,16.35,Kalaburagi
2017-01-25,23.32,0.0,34.16,1.93,32.51,15.16,Kalaburagi
2017-01-26,23.58,0.0,39.62,2.4,30.79,17.34,Kalaburagi
2017-01-27,24.77,0.0,40.88,1.41,33.38,16.72,Kalaburagi
2017-01-28,24.02,0.0,35.03,2.32,32.87,16.83,Kalaburagi
2017-01-29,23.31,0.0,27.36,1.99,32.88,15.22,Kalaburagi
