date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,22.88,0.11,54.39,0.49,30.87,16.04,Kodagu
2016-12-02,23.31,2.06,71.39,0.36,30.02,18.02,Kodagu
2016-12-03,23.57,3.69,82.43,0.61,30.08,19.51,Kodagu
2016-12-04,23.97,0.9,77.17,0.61,29.63,20.63,Kodagu
2016-12-05,23.64,0.37,76.46,0.42,29.95,18.66,Kodagu
2016-12-06,24.11,0.13,66.64,0.39,30.89,18.92,Kodagu
2016-12-07,22.71,0.01,62.15,0.57,30.37,16.7,Kodagu
2016-12-08,22.99,0.0,68.29,0.47,30.54,16.19,Kodagu
2016-12-09,23.03,0.0,67.72,0.5,30.52,17.87,Kodagu
2016-12-10,21.18,0.0,56.98,0.57,30.15,14.64,Kodagu
2016-12-11,20.79,0.0,47.92,0.56,29.97,12.54,Kodagu
2016-12-12,22.51,4.17,57.16,0.59,29.56,17.35,Kodagu
2016-12-13,18.72,15.62,93.43,0.46,21.09,16.89,Kodagu
2016-12-14,21.76,6.92,88.84,0.67,27.11,18.1,Kodagu
2016-12-15,23.13,0.39,76.9,0.54,29.32,19.22,Kodagu
2016-12-16,22.75,0.02,70.24,0.49,29.54,16.53,Kodagu
2016-12-17,23.83,0.07,72.39,0.39,30.07,18.77,Kodagu
2016-12-18,23.33,0.01,67.3,0.33,30.82,17.3,Kodagu
2016-12-19,22.69,0.0,60.5,0.42,30.67,16.42,Kodagu
2016-12-20,22.94,0.0,56.52,0.5,31.85,15.48,Kodagu
2016-12-21,23.72,0.0,62.92,0.54,31.76,17.05,Kodagu
2016-12-22,23.15,0.0,57.05,0.45,31.77,16.11,Kodagu
2016-12-23,22.62,0.0,45.92,0.56,31.74,15.01,Kodagu
2016-12-24,21.98,0.0,51.1,0.55,31.38,13.85,Kodagu
2016-12-25,21.97,0.0,64.83,0.55,30.7,14.86,Kodagu
2016-12-26,22.49,0.0,57.51,0.44,31.36,15.08,Kodagu
2016-12-27,22.38,0.0,50.54,0.51,32.3,14.45,Kodagu
2016-12-28,23.19,0.0,54.63,0.47,32.71,15.67,Kodagu
2016-12-29,22.72,0.0,53.28,0.53,32.03,16.16,Kodagu
2016-12-30,22.13,0.0,53.36,0.5,31.31,15.11,Kodagu
2016-12-31,22.12,0.0,55.14,0.48,31.04,14.16,Kodagu
2017-01-01,21.88,0.0,56.75,0.63,30.44,14.1,Kodagu
2017-01-02,21.87,0.0,63.03,0.58,30.31,14.76,Kodagu
2017-01-03,22.56,0.0,53.56,0.58,31.52,14.7,Kodagu
2017-01-04,22.71,0.0,56.44,0.54,31.47,15.48,Kodagu
2017-01-05,22.71,0.0,57.23,0.51,31.62,15.44,Kodagu
2017-01-06,22.34,0.0,64.04,0.57,30.67,15.2,Kodagu
2017-01-07,23.27,0.0,66.53,0.5,30.72,18.21,Kodagu
2017-01-08,22.14,0.0,65.21,0.56,30.86,14.91,Kodagu
2017-01-09,22.08,0.0,68.09,0.57,29.85,16.09,Kodagu
