date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,20.03,1.68,65.67,3.37,26.24,15.81,Kolar
2016-12-02,21.85,5.86,79.17,3.65,28.94,17.22,Kolar
2016-12-03,22.14,2.64,82.4,3.62,28.27,18.64,Kolar
2016-12-04,23.12,0.21,75.89,2.64,30.13,18.14,Kolar
2016-12-05,23.12,0.25,72.37,2.28,30.04,18.31,Kolar
2016-12-06,21.74,0.0,67.18,2.85,29.57,15.87,Kolar
2016-12-07,21.06,0.0,71.14,2.25,30.05,12.45,Kolar
2016-12-08,22.96,0.0,67.01,1.86,30.88,17.38,Kolar
2016-12-09,22.16,0.0,46.6,2.0,31.48,14.86,Kolar
2016-12-10,20.87,0.0,26.32,2.31,30.75,12.78,Kolar
2016-12-11,20.42,0.0,27.93,2.39,27.91,13.49,Kolar
2016-12-12,20.38,38.71,56.42,4.98,23.97,17.74,Kolar
2016-12-13,20.81,8.77,84.56,3.47,25.64,18.12,Kolar
2016-12-14,21.52,1.0,81.78,3.1,26.89,18.23,Kolar
2016-12-15,20.84,0.35,74.69,2.24,28.11,15.81,Kolar
2016-12-16,21.07,1.76,81.31,2.58,27.59,16.94,Kolar
2016-12-17,21.18,0.01,74.05,1.99,29.11,15.94,Kolar
2016-12-18,20.69,0.0,70.8,1.92,29.15,15.03,Kolar
2016-12-19,19.85,0.0,62.5,2.15,29.29,13.0,Kolar
2016-12-20,19.85,0.0,63.07,2.15,28.85,12.85,Kolar
2016-12-21,20.81,0.0,66.28,1.3,30.1,14.2,Kolar
2016-12-22,20.54,0.0,53.23,1.76,30.35,14.62,Kolar
2016-12-23,20.2,0.0,40.33,1.65,29.68,13.98,Kolar
2016-12-24,19.5,0.0,52.61,1.53,29.83,13.27,Kolar
2016-12-25,19.18,0.0,62.29,1.06,30.13,12.53,Kolar
2016-12-26,19.82,0.0,55.82,1.94,30.19,12.84,Kolar
2016-12-27,19.78,0.0,60.24,2.54,29.9,11.96,Kolar
2016-12-28,19.78,0.0,68.18,2.3,29.79,12.41,Kolar
2016-12-29,19.39,0.0,65.11,2.09,28.93,13.09,Kolar
2016-12-30,19.18,0.0,68.88,2.15,27.99,13.33,Kolar
2016-12-31,18.96,0.0,67.27,2.09,28.17,12.9,Kolar
2017-01-01,19.0,0.0,68.3,2.05,27.93,12.18,Kolar
2017-01-02,19.54,0.0,59.57,1.85,29.06,12.96,Kolar
2017-01-03,19.45,0.0,57.21,2.25,29.17,11.99,Kolar
2017-01-04,20.07,0.0,61.35,1.73,29.47,12.99,Kolar
2017-01-05,19.98,0.0,61.21,1.78,29.61,13.59,Kolar
2017-01-06,20.13,0.0,58.72,1.49,30.1,13.8,Kolar
2017-01-07,20.62,0.0,61.86,1.34,30.0,13.97,Kolar
2017-01-08,20.54,0.0,61.62,1.88,30.4,13.8,Kolar
2017-01-09,20.29,0.0,58.16,1.61,29.71,13.98,Kolar
2017-01-10,20.72,0.0,57.93,0.92,30.17,12.74,Kolar
2017-01-11,21.09,0.0,57.58,1.13,30.01,13.99,Kolar
2017-01-12,21.6,0.0,64.85,1.69,29.33,15.65,Kolar
2017-01-13,21.97,0.0,66.34,2.11,29.26,16.51,Kolar
2017-01-14,20.95,0.0,65.31,2.93,28.08,16.49,Kolar
2017-01-15,20.65,0.0,63.41,2.81,29.1,14.64,Kolar
2017-01-16,20.94,0.0,59.51,2.18,29.72,14.94,Kolar
2017-01-17,20.08,0.0,57.04,2.37,29.43,13.56,Kolar
2017-01-18,19.42,0.0,60.76,3.12,28.78,11.68,Kolar
2017-01-19,19.8,0.0,66.11,3.41,28.27,13.58,Kolar
2017-01-20,20.37,0.09,67.12,3.17,29.55,11.83,Kolar
2017-01-21,21.61,0.02,72.5,3.89,29.31,15.68,Kolar
2017-01-22,21.9,0.0,59.15,3.34,30.78,15.25,Kolar
2017-01-23,20.9,0.0,51.96,3.24,30.18,12.8,Kolar
2017-01-24,21.4,0.0,58.37,3.32,30.4,13.89,Kolar
2017-01-25,21.53,0.0,62.2,3.44,29.72,15.19,Kolar
2017-01-26,21.16,1.25,73.57,2.87,27.87,15.7,Kolar
