date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.24,1.29,49.84,2.4,32.56,16.38,Mysuru
2016-12-02,23.55,4.71,67.88,2.9,31.99,17.83,Mysuru
2016-12-03,23.48,3.1,78.17,3.22,30.72,19.04,Mysuru
2016-12-04,24.23,0.19,66.39,2.43,31.96,19.32,Mysuru
2016-12-05,24.72,0.04,65.21,1.76,31.75,19.45,Mysuru
2016-12-06,23.99,0.01,57.66,2.42,32.16,18.42,Mysuru
2016-12-07,22.91,0.0,52.33,1.96,32.16,14.54,Mysuru
2016-12-08,24.71,0.0,59.68,1.13,32.29,18.22,Mysuru
2016-12-09,24.41,0.0,44.93,1.44,33.28,17.63,Mysuru
2016-12-10,22.23,0.0,26.89,1.78,32.8,14.21,Mysuru
2016-12-11,21.12,0.0,24.5,1.53,30.15,11.73,Mysuru
2016-12-12,22.39,24.69,46.9,2.77,31.49,15.53,Mysuru
2016-12-13,19.86,18.08,86.78,2.21,23.07,17.2,Mysuru
2016-12-14,22.38,4.19,82.3,2.43,27.82,19.28,Mysuru
2016-12-15,22.13,0.15,71.8,2.27,29.11,17.3,Mysuru
2016-12-16,22.0,0.25,74.08,2.29,29.56,15.79,Mysuru
2016-12-17,22.76,0.01,69.8,1.74,30.46,16.92,Mysuru
2016-12-18,22.26,0.0,65.89,1.71,30.75,16.0,Mysuru
2016-12-19,21.45,0.0,60.16,1.8,30.9,14.59,Mysuru
2016-12-20,21.8,0.0,60.8,2.13,31.76,14.4,Mysuru
2016-12-21,22.59,0.0,65.39,1.5,31.42,15.42,Mysuru
2016-12-22,21.68,0.0,57.01,1.53,31.76,15.07,Mysuru
2016-12-23,21.5,0.0,41.42,1.36,31.36,15.12,Mysuru
2016-12-24,20.73,0.0,47.14,1.41,31.1,13.12,Mysuru
2016-12-25,20.69,0.0,55.27,1.21,30.48,12.06,Mysuru
2016-12-26,20.73,0.0,49.51,1.55,31.36,12.92,Mysuru
2016-12-27,21.0,0.0,57.31,2.16,32.04,11.85,Mysuru
2016-12-28,21.46,0.0,59.47,2.07,32.05,12.93,Mysuru
2016-12-29,20.84,0.0,58.74,1.97,31.15,13.71,Mysuru
2016-12-30,20.19,0.0,59.03,1.99,30.24,12.95,Mysuru
2016-12-31,20.39,0.0,58.28,1.95,30.6,13.7,Mysuru
2017-01-01,20.3,0.0,59.85,1.74,30.24,12.03,Mysuru
2017-01-02,20.99,0.0,59.77,1.47,30.33,13.55,Mysuru
2017-01-03,21.0,0.0,47.99,1.88,31.4,12.42,Mysuru
2017-01-04,21.55,0.0,48.04,1.47,31.52,13.49,Mysuru
2017-01-05,21.59,0.0,51.26,1.62,31.5,13.78,Mysuru
2017-01-06,21.62,0.0,48.01,1.18,31.17,13.33,Mysuru
2017-01-07,21.52,0.0,49.65,1.16,30.92,13.18,Mysuru
2017-01-08,21.75,0.0,50.0,1.62,31.21,13.77,Mysuru
2017-01-09,21.9,0.0,49.89,1.25,30.76,13.39,Mysuru
2017-01-10,22.56,0.0,43.62,0.84,31.04,13.37,Mysuru
