date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.42,0.0,45.7,1.97,31.71,16.47,Raichur
2016-12-02,25.11,0.56,58.43,2.61,32.79,17.87,Raichur
2016-12-03,26.89,0.18,62.79,2.89,33.96,20.79,Raichur
2016-12-04,26.88,0.23,62.28,2.55,33.33,21.27,Raichur
2016-12-05,26.41,0.03,52.29,2.07,34.11,20.91,Raichur
2016-12-06,23.93,0.0,49.23,2.25,32.21,17.28,Raichur
2016-12-07,23.47,0.0,47.33,1.65,32.35,15.81,Raichur
2016-12-08,23.15,0.0,38.23,1.63,33.2,15.07,Raichur
2016-12-09,22.0,0.0,32.34,1.62,32.5,13.29,Raichur
2016-12-10,21.44,0.0,31.14,2.15,31.99,12.17,Raichur
2016-12-11,22.92,0.0,36.12,2.02,32.6,14.2,Raichur
2016-12-12,24.5,0.29,39.29,3.35,33.68,16.37,Raichur
2016-12-13,25.26,1.57,64.02,4.41,31.82,20.76,Raichur
2016-12-14,25.84,0.08,68.32,2.78,32.88,20.57,Raichur
2016-12-15,26.3,0.02,62.29,2.87,32.67,21.28,Raichur
2016-12-16,26.09,0.0,61.57,2.22,32.58,20.6,Raichur
2016-12-17,25.52,0.0,50.92,1.69,33.76,19.28,Raichur
2016-12-18,23.83,0.0,39.63,1.81,33.05,16.1,Raichur
2016-12-19,22.86,0.0,33.18,1.73,32.9,14.66,Raichur
2016-12-20,22.23,0.0,34.14,1.56,32.62,13.94,Raichur
2016-12-21,22.56,0.0,30.61,1.29,33.06,14.3,Raichur
2016-12-22,22.67,0.0,25.54,1.65,34.09,13.68,Raichur
2016-12-23,22.54,0.0,24.73,1.57,33.55,13.99,Raichur
2016-12-24,22.06,0.0,23.92,1.7,33.23,13.69,Raichur
2016-12-25,22.06,0.0,44.05,1.37,32.78,12.39,Raichur
2016-12-26,22.5,0.0,46.26,1.63,33.01,14.21,Raichur
2016-12-27,22.23,0.0,30.0,2.01,33.06,13.38,Raichur
2016-12-28,21.63,0.0,38.93,1.5,31.37,13.26,Raichur
2016-12-29,22.38,0.0,56.24,1.71,31.24,14.56,Raichur
2016-12-30,22.88,0.0,58.23,1.79,31.32,15.74,Raichur
2016-12-31,22.97,0.0,56.83,1.96,31.56,16.06,Raichur
2017-01-01,22.58,0.0,49.44,1.89,31.57,15.05,Raichur
2017-01-02,22.89,0.0,49.47,1.58,31.73,14.48,Raichur
2017-01-03,22.91,0.0,47.45,1.64,32.24,15.39,Raichur
2017-01-04,22.36,0.0,33.41,1.52,31.55,14.52,Raichur
2017-01-05,21.54,0.0,31.24,1.63,31.47,13.34,Raichur
2017-01-06,21.87,0.0,28.24,1.34,32.03,12.42,Raichur
2017-01-07,22.65,0.0,49.01,1.77,31.58,14.59,Raichur
2017-01-08,22.85,0.0,53.66,1.94,32.11,15.21,Raichur
2017-01-09,23.32,0.0,51.58,1.99,31.26,16.12,Raichur
2017-01-10,22.97,0.0,45.36,1.34,31.03,15.04,Raichur
2017-01-11,23.26,0.0,35.4,1.55,31.72,15.76,Raichur
2017-01-12,22.6,0.0,40.43,1.75,30.85,14.72,Raichur
2017-01-13,23.49,0.0,53.86,2.16,30.57,16.52,Raichur
2017-01-14,23.34,0.0,59.09,2.1,29.82,17.36,Raichur
2017-01-15,23.78,0.0,53.93,2.2,31.57,16.67,Raichur
2017-01-16,23.45,0.0,48.1,1.61,31.5,16.24,Raichur
2017-01-17,22.95,0.0,39.41,1.81,31.84,14.88,Raichur
2017-01-18,22.5,0.0,48.69,2.76,31.38,14.31,Raichur
2017-01-19,22.25,0.0,56.15,2.24,30.52,14.8,Raichur
2017-01-20,22.61,0.0,51.53,1.98,31.43,14.73,Raichur
2017-01-21,24.4,0.0,47.67,2.53,33.36,15.63,Raichur
2017-01-22,25.67,0.0,43.98,2.52,34.11,17.67,Raichur
2017-01-23,25.54,0.0,46.06,1.92,33.71,18.05,Raichur
2017-01-24,24.94,0.0,44.69,2.43,33.52,17.3,Raichur
2017-01-25,24.59,0.0,52.43,2.36,32.92,16.63,Raichur
2017-01-26,24.74,0.01,50.74,2.79,32.34,18.31,Raichur
2017-01-27,25.57,0.05,53.1,2.29,33.25,18.44,Raichur
2017-01-28,26.43,0.0,47.95,2.19,33.64,20.4,Raichur
2017-01-29,25.28,0.0,35.88,2.03,33.93,18.36,Raichur
2017-01-30,24.22,0.0,27.26,1.9,34.4,15.12,Raichur
2017-01-31,24.66,0.0,42.78,1.68,34.67,15.04,Raichur
2017-02-01,24.88,0.0,41.14,1.92,34.84,15.69,Raichur
2017-02-02,24.4,0.0,49.42,2.36,33.62,15.63,Raichur
2017-02-03,24.87,0.0,46.02,1.92,33.37,16.89,Raichur
2017-02-04,24.76,0.0,40.4,1.58,33.79,15.97,Raichur
2017-02-05,24.87,0.0,41.78,1.82,33.54,16.1,Raichur
2017-02-06,25.37,0.0,33.01,1.2,34.22,14.74,Raichur
2017-02-07,25.22,0.0,30.71,1.28,34.64,15.4,Raichur
2017-02-08,25.05,0.0,32.44,1.86,34.96,15.89,Raichur
2017-02-09,25.61,0.0,34.66,1.55,35.06,15.95,Raichur
2017-02-10,24.91,0.0,35.63,2.25,35.0,15.72,Raichur
2017-02-11,24.46,0.0,38.57,2.66,34.58,15.47,Raichur
2017-02-12,23.96,0.0,48.69,2.83,33.52,14.67,Raichur
2017-02-13,24.23,0.0,49.38,2.98,33.45,15.62,Raichur
2017-02-14,24.83,0.0,45.15,2.46,34.53,15.28,Raichur
2017-02-15,25.37,0.0,42.52,2.5,33.91,17.34,Raichur
2017-02-16,24.84,0.0,44.67,2.49,34.17,16.57,Raichur
2017-02-17,25.15,0.0,40.69,2.4,35.18,16.5,Raichur
2017-02-18,26.28,0.0,38.4,2.06,36.25,18.01,Raichur
2017-02-19,26.93,0.0,35.1,1.56,36.51,17.26,Raichur
2017-02-20,28.48,0.0,18.58,1.21,37.56,19.42,Raichur
2017-02-21,28.65,0.0,24.8,1.67,37.83,17.76,Raichur
2017-02-22,29.26,0.0,16.79,1.06,38.32,19.51,Raichur
2017-02-23,28.14,0.0,31.49,1.98,38.55,18.08,Raichur
2017-02-24,28.32,0.0,29.21,1.93,38.64,19.84,Raichur
2017-02-25,27.6,0.0,25.06,2.21,38.03,18.19,Raichur
2017-02-26,26.99,0.0,15.22,2.49,37.83,17.36,Raichur
2017-02-27,26.57,0.0,32.23,2.49,36.73,16.65,Raichur
2017-02-28,27.65,0.0,33.82,2.22,37.32,18.53,Raichur
2017-03-01,27.61,0.0,32.43,2.42,37.18,18.5,Raichur
2017-03-02,27.21,0.0,28.62,2.36,36.58,18.23,Raichur
2017-03-03,27.02,0.0,21.94,2.17,37.17,17.31,Raichur
2017-03-04,27.55,0.0,40.31,1.94,37.2,16.93,Raichur
2017-03-05,30.02,0.0,45.62,1.92,37.84,22.02,Raichur
2017-03-06,30.16,0.0,37.88,1.76,38.37,22.09,Raichur
2017-03-07,30.54,0.0,35.14,1.53,38.48,23.03,Raichur
2017-03-08,29.66,0.0,29.85,1.68,37.67,21.31,Raichur
2017-03-09,30.58,0.0,30.5,1.13,38.42,22.85,Raichur
2017-03-10,30.03,0.0,24.0,2.37,37.73,21.64,Raichur
2017-03-11,27.82,0.0,22.07,2.32,36.44,20.16,Raichur
2017-03-12,27.49,0.0,17.05,1.3,36.76,17.04,Raichur
2017-03-13,28.74,0.0,36.0,1.53,37.55,18.89,Raichur
2017-03-14,30.15,0.08,46.6,2.77,36.88,22.44,Raichur
2017-03-15,28.79,18.38,57.35,2.85,35.59,23.7,Raichur
2017-03-16,27.21,3.26,66.34,1.83,33.6,21.72,Raichur
2017-03-17,29.15,0.0,55.05,1.27,35.62,22.02,Raichur
2017-03-18,29.31,0.0,38.9,1.13,36.36,20.15,Raichur
2017-03-19,29.38,0.0,35.02,1.32,36.88,21.34,Raichur
2017-03-20,29.53,0.0,37.44,1.23,37.26,19.89,Raichur
2017-03-21,29.04,0.0,37.88,2.33,37.68,20.74,Raichur
2017-03-22,28.78,0.0,32.9,2.19,38.5,19.75,Raichur
2017-03-23,29.31,0.0,39.24,1.85,38.96,19.24,Raichur
2017-03-24,30.29,0.0,33.79,1.73,39.13,20.65,Raichur
2017-03-25,30.93,0.0,28.55,1.65,39.69,20.79,Raichur
2017-03-26,31.19,0.0,29.71,2.33,40.26,21.99,Raichur
2017-03-27,31.9,0.0,30.82,2.47,40.95,22.93,Raichur
2017-03-28,31.67,0.0,28.16,2.13,40.26,22.92,Raichur
2017-03-29,31.78,0.0,32.55,2.2,40.57,22.97,Raichur
2017-03-30,32.24,0.0,27.24,1.72,40.4,22.94,Raichur
2017-03-31,32.74,0.0,25.96,2.53,41.7,23.7,Raichur
2017-04-01,32.67,0.0,25.89,1.92,41.09,23.72,Raichur
2017-04-02,33.83,0.01,26.66,1.32,41.48,25.18,Raichur
2017-04-03,34.27,0.23,24.37,2.37,41.35,26.98,Raichur
2017-04-04,33.91,0.65,31.52,2.25,41.22,25.45,Raichur
2017-04-05,34.66,0.05,29.6,1.29,41.24,27.35,Raichur
2017-04-06,34.88,0.0,27.09,1.57,41.77,27.41,Raichur
2017-04-07,34.41,0.0,26.38,1.43,41.4,26.8,Raichur
2017-04-08,35.06,0.0,27.02,1.65,41.59,27.08,Raichur
2017-04-09,35.43,0.0,29.35,2.24,42.2,27.71,Raichur
2017-04-10,34.72,0.0,26.67,2.21,42.48,27.64,Raichur
2017-04-11,32.82,0.0,25.55,1.86,41.11,26.18,Raichur
2017-04-12,32.16,0.0,19.71,2.09,42.15,22.87,Raichur
