date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,22.06,2.13,57.02,2.67,30.89,15.49,Ramanagara
2016-12-02,22.87,5.0,73.81,3.1,30.88,17.27,Ramanagara
2016-12-03,23.05,2.4,79.63,3.28,29.11,18.94,Ramanagara
2016-12-04,23.98,0.19,70.03,2.38,31.63,19.05,Ramanagara
2016-12-05,24.04,0.34,69.43,1.78,30.85,19.66,Ramanagara
2016-12-06,23.27,0.01,61.25,2.24,31.62,17.85,Ramanagara
2016-12-07,22.68,0.0,61.1,2.17,31.8,13.19,Ramanagara
2016-12-08,24.56,0.0,63.29,1.35,32.27,18.38,Ramanagara
2016-12-09,24.22,0.0,47.77,1.44,33.25,18.16,Ramanagara
2016-12-10,22.4,0.0,24.95,1.93,32.65,13.97,Ramanagara
2016-12-11,21.34,0.0,24.12,1.66,30.29,12.2,Ramanagara
2016-12-12,22.14,30.05,49.6,3.59,29.55,16.78,Ramanagara
2016-12-13,20.72,9.98,83.32,3.1,25.48,17.26,Ramanagara
2016-12-14,22.68,2.11,79.01,2.87,28.28,19.06,Ramanagara
2016-12-15,22.26,0.23,69.48,2.28,29.85,17.33,Ramanagara
2016-12-16,22.09,1.12,75.63,2.34,29.51,16.9,Ramanagara
2016-12-17,22.62,0.0,68.82,1.79,30.93,16.87,Ramanagara
2016-12-18,22.26,0.0,66.36,1.63,31.21,16.17,Ramanagara
2016-12-19,21.54,0.0,59.09,1.81,31.45,13.88,Ramanagara
2016-12-20,21.92,0.0,59.81,2.19,31.46,14.48,Ramanagara
2016-12-21,22.39,0.0,63.77,1.44,31.62,15.36,Ramanagara
2016-12-22,21.74,0.0,55.84,1.49,32.24,15.06,Ramanagara
2016-12-23,21.67,0.0,37.72,1.4,31.65,14.83,Ramanagara
2016-12-24,20.5,0.0,49.55,1.32,31.47,13.28,Ramanagara
2016-12-25,20.78,0.0,57.44,0.97,30.9,13.23,Ramanagara
2016-12-26,21.1,0.0,49.99,1.47,31.93,13.59,Ramanagara
2016-12-27,21.34,0.0,56.77,2.32,32.11,12.04,Ramanagara
2016-12-28,21.5,0.0,58.59,2.25,32.02,13.37,Ramanagara
2016-12-29,20.86,0.0,58.94,2.05,31.13,14.05,Ramanagara
2016-12-30,20.45,0.0,60.99,2.02,30.1,14.21,Ramanagara
