date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.34,0.0,44.0,2.14,32.42,16.41,Shimoga
2016-12-02,23.24,2.46,65.0,2.39,30.54,16.87,Shimoga
2016-12-03,23.76,1.31,74.73,2.55,31.24,18.12,Shimoga
2016-12-04,24.35,0.27,70.65,2.19,31.21,19.84,Shimoga
2016-12-05,24.37,0.21,68.61,1.82,31.06,18.67,Shimoga
2016-12-06,22.92,0.01,63.22,2.29,30.41,17.14,Shimoga
2016-12-07,22.39,0.0,53.08,2.0,30.66,15.39,Shimoga
2016-12-08,23.0,0.0,61.1,1.32,31.36,16.33,Shimoga
2016-12-09,21.59,0.0,44.69,1.34,30.27,14.43,Shimoga
2016-12-10,20.16,0.0,39.73,1.47,29.81,12.59,Shimoga
2016-12-11,20.45,0.0,37.37,1.31,28.94,12.18,Shimoga
2016-12-12,22.22,1.38,47.12,1.82,31.15,12.96,Shimoga
2016-12-13,21.01,8.26,81.51,3.29,27.56,16.31,Shimoga
2016-12-14,22.03,2.17,83.93,2.28,26.88,18.99,Shimoga
2016-12-15,22.69,0.03,70.84,2.4,29.89,17.79,Shimoga
2016-12-16,22.18,0.0,72.99,2.33,29.7,15.58,Shimoga
2016-12-17,23.09,0.0,68.95,1.83,30.21,17.03,Shimoga
2016-12-18,22.18,0.0,61.46,1.85,30.28,15.77,Shimoga
2016-12-19,21.43,0.0,54.3,1.86,30.32,14.64,Shimoga
2016-12-20,20.6,0.0,48.77,2.2,30.57,12.89,Shimoga
2016-12-21,21.39,0.0,52.54,1.48,31.33,13.08,Shimoga
2016-12-22,21.5,0.0,42.29,1.74,31.77,13.53,Shimoga
2016-12-23,21.81,0.0,32.97,1.5,31.8,13.91,Shimoga
2016-12-24,21.39,0.0,33.84,1.67,31.51,12.66,Shimoga
2016-12-25,21.36,0.0,44.12,1.05,31.53,12.32,Shimoga
2016-12-26,21.37,0.0,42.3,1.84,31.38,12.85,Shimoga
2016-12-27,21.17,0.0,44.89,2.45,31.47,13.28,Shimoga
2016-12-28,21.27,0.0,42.59,2.11,32.13,12.21,Shimoga
2016-12-29,20.98,0.0,51.01,2.41,30.85,13.34,Shimoga
2016-12-30,20.86,0.0,53.87,2.17,30.42,12.65,Shimoga
2016-12-31,21.01,0.0,54.71,2.12,30.26,13.29,Shimoga
2017-01-01,20.6,0.0,48.89,1.88,30.16,12.91,Shimoga
2017-01-02,20.68,0.0,50.43,1.61,30.37,12.36,Shimoga
2017-01-03,21.64,0.0,45.38,1.83,31.14,13.62,Shimoga
2017-01-04,21.51,0.0,46.17,1.59,30.68,13.67,Shimoga
2017-01-05,21.34,0.0,44.08,1.71,30.82,13.65,Shimoga
2017-01-06,21.24,0.0,45.0,1.18,30.83,12.49,Shimoga
2017-01-07,21.24,0.0,53.17,1.0,30.58,13.67,Shimoga
2017-01-08,21.57,0.0,51.3,0.83,31.11,13.36,Shimoga
2017-01-09,20.94,0.0,59.34,1.6,29.95,13.2,Shimoga
2017-01-10,21.2,0.0,67.08,0.93,29.87,15.13,Shimoga
2017-01-11,21.42,0.0,59.66,0.87,30.34,14.63,Shimoga
2017-01-12,21.32,0.0,52.87,1.21,30.43,13.71,Shimoga
2017-01-13,21.79,0.0,63.51,0.96,30.22,15.02,Shimoga
2017-01-14,22.71,0.0,60.56,1.47,29.88,16.43,Shimoga
2017-01-15,22.51,0.0,52.9,1.92,30.99,15.48,Shimoga
2017-01-16,21.93,0.0,49.83,1.77,30.63,14.87,Shimoga
2017-01-17,21.79,0.0,41.4,2.16,30.89,14.2,Shimoga
2017-01-18,21.23,0.0,40.53,2.77,30.81,13.38,Shimoga
2017-01-19,20.57,0.0,49.78,3.01,29.68,12.45,Shimoga
2017-01-20,21.67,0.0,49.21,2.73,30.87,13.71,Shimoga
2017-01-21,23.77,0.0,59.05,2.97,32.49,15.5,Shimoga
2017-01-22,24.34,0.0,48.2,2.89,32.56,17.39,Shimoga
2017-01-23,23.44,0.0,42.34,3.02,32.34,15.55,Shimoga
2017-01-24,23.42,0.0,46.89,2.94,32.32,15.91,Shimoga
2017-01-25,23.48,0.0,48.73,2.9,32.03,15.95,Shimoga
2017-01-26,24.45,0.01,46.75,1.96,32.63,17.97,Shimoga
2017-01-27,24.36,0.01,60.57,1.85,30.11,19.1,Shimoga
2017-01-28,25.34,0.03,58.44,2.78,32.6,18.74,Shimoga
2017-01-29,25.82,0.0,54.64,2.23,33.59,18.89,Shimoga
2017-01-30,24.84,0.0,44.72,2.11,33.59,17.97,Shimoga
2017-01-31,24.43,0.0,35.21,1.49,34.41,15.65,Shimoga
2017-02-01,24.08,0.0,34.08,1.61,34.03,15.18,Shimoga
2017-02-02,23.61,0.0,31.75,2.02,33.58,14.53,Shimoga
2017-02-03,23.16,0.0,40.48,2.15,32.54,14.54,Shimoga
2017-02-04,23.67,0.0,36.77,1.9,33.38,14.88,Shimoga
2017-02-05,23.5,0.0,40.87,1.42,33.26,14.68,Shimoga
2017-02-06,23.77,0.0,47.43,1.03,33.11,17.06,Shimoga
2017-02-07,23.94,0.0,36.86,0.79,33.55,16.38,Shimoga
2017-02-08,24.01,0.0,33.83,1.37,34.4,14.77,Shimoga
2017-02-09,24.13,0.0,32.53,1.21,34.58,14.64,Shimoga
2017-02-10,24.1,0.0,33.63,1.16,34.47,14.79,Shimoga
2017-02-11,24.49,0.0,48.53,0.57,34.0,17.05,Shimoga
2017-02-12,24.04,0.0,35.83,2.17,34.34,14.41,Shimoga
2017-02-13,23.22,0.0,35.37,3.37,32.94,15.05,Shimoga
2017-02-14,24.4,0.0,42.92,3.23,34.57,15.14,Shimoga
2017-02-15,24.48,0.0,42.36,3.03,33.92,16.41,Shimoga
2017-02-16,23.62,0.0,39.73,3.67,32.61,15.89,Shimoga
2017-02-17,23.64,0.0,37.6,3.39,33.56,14.69,Shimoga
2017-02-18,24.66,0.0,38.78,2.86,34.65,15.9,Shimoga
2017-02-19,25.42,0.0,32.31,1.7,35.65,16.23,Shimoga
2017-02-20,25.47,0.0,56.58,1.57,35.25,17.5,Shimoga
2017-02-21,26.49,0.0,54.81,1.56,35.49,19.84,Shimoga
2017-02-22,26.39,0.0,48.81,1.06,36.43,18.46,Shimoga
2017-02-23,26.82,0.0,30.24,1.98,36.86,17.07,Shimoga
2017-02-24,27.15,0.0,29.97,2.46,37.54,17.65,Shimoga
2017-02-25,27.76,0.0,31.97,1.98,37.26,18.52,Shimoga
2017-02-26,26.8,0.0,28.58,2.37,36.19,18.42,Shimoga
2017-02-27,26.11,0.0,28.46,2.75,35.9,18.24,Shimoga
2017-02-28,25.35,0.0,27.58,2.94,35.46,16.17,Shimoga
2017-03-01,25.83,0.0,26.55,2.81,35.82,16.65,Shimoga
2017-03-02,25.45,0.0,24.4,2.48,35.88,16.94,Shimoga
2017-03-03,26.34,0.0,27.79,1.73,36.92,16.87,Shimoga
2017-03-04,26.44,0.0,53.44,1.42,36.54,17.51,Shimoga
2017-03-05,26.68,0.0,55.49,1.79,35.93,18.76,Shimoga
2017-03-06,27.34,0.0,52.55,1.58,37.03,19.1,Shimoga
2017-03-07,26.75,0.04,52.11,1.87,36.48,18.46,Shimoga
2017-03-08,26.67,0.12,49.91,1.61,36.42,18.23,Shimoga
2017-03-09,26.99,0.0,47.57,1.82,36.69,19.1,Shimoga
2017-03-10,25.85,0.0,52.37,2.76,35.7,18.03,Shimoga
2017-03-11,24.85,0.0,54.68,2.36,35.15,16.98,Shimoga
2017-03-12,24.22,0.0,52.86,1.69,36.2,15.08,Shimoga
2017-03-13,25.52,0.0,55.25,1.54,36.62,15.86,Shimoga
2017-03-14,26.98,0.01,52.66,1.23,36.16,19.0,Shimoga
2017-03-15,26.92,0.92,59.73,1.43,34.59,21.42,Shimoga
2017-03-16,26.3,1.6,64.24,1.47,33.44,21.41,Shimoga
2017-03-17,27.67,0.0,51.27,1.73,36.4,19.9,Shimoga
2017-03-18,27.32,0.0,47.84,2.03,37.3,18.43,Shimoga
2017-03-19,27.54,0.0,51.6,1.87,37.46,18.83,Shimoga
2017-03-20,27.98,0.0,49.2,1.45,37.58,19.53,Shimoga
2017-03-21,28.27,1.0,50.9,1.64,36.93,19.64,Shimoga
2017-03-22,29.44,0.88,46.3,1.49,36.61,22.6,Shimoga
2017-03-23,29.16,0.0,41.58,1.58,38.27,21.1,Shimoga
2017-03-24,28.71,0.0,45.67,1.48,38.46,20.6,Shimoga
2017-03-25,28.86,0.0,42.63,0.94,38.6,19.45,Shimoga
2017-03-26,29.65,0.0,37.49,1.85,39.17,20.84,Shimoga
2017-03-27,29.84,0.0,31.12,2.29,39.64,21.06,Shimoga
2017-03-28,29.42,0.0,40.61,1.47,39.01,21.08,Shimoga
2017-03-29,29.43,0.0,47.16,1.23,39.07,21.01,Shimoga
2017-03-30,29.42,0.0,46.85,1.26,38.64,20.95,Shimoga
2017-03-31,30.35,0.0,39.47,1.17,39.75,21.77,Shimoga
2017-04-01,28.81,0.0,56.31,2.29,36.34,22.58,Shimoga
2017-04-02,29.97,0.0,52.35,1.69,38.27,22.41,Shimoga
2017-04-03,29.89,0.03,50.01,2.18,37.6,23.2,Shimoga
2017-04-04,29.48,1.73,50.97,2.01,37.42,22.68,Shimoga
2017-04-05,28.94,0.92,54.05,2.28,38.38,21.43,Shimoga
2017-04-06,29.72,0.08,52.88,2.13,38.8,21.86,Shimoga
2017-04-07,29.47,0.08,52.66,2.3,38.27,22.77,Shimoga
2017-04-08,30.78,0.0,48.01,1.69,39.69,22.03,Shimoga
2017-04-09,30.91,0.0,45.98,1.81,38.75,24.43,Shimoga
2017-04-10,30.13,0.04,50.34,1.78,37.45,24.16,Shimoga
2017-04-11,30.08,0.02,49.52,2.07,38.61,23.3,Shimoga
2017-04-12,30.16,0.0,44.52,1.6,39.54,22.31,Shimoga
2017-04-13,29.67,0.0,39.59,1.31,38.71,21.69,Shimoga
2017-04-14,29.79,0.0,44.74,1.51,39.0,21.79,Shimoga
2017-04-15,29.63,0.0,52.13,2.26,38.39,22.74,Shimoga
2017-04-16,28.89,0.0,54.85,3.43,38.15,21.66,Shimoga
2017-04-17,28.96,0.05,55.4,3.42,38.35,22.12,Shimoga
2017-04-18,29.48,0.36,56.11,2.88,39.27,22.11,Shimoga
2017-04-19,29.32,0.0,56.42,3.03,38.59,22.14,Shimoga
2017-04-20,29.4,0.06,57.33,3.16,39.03,22.57,Shimoga
2017-04-21,28.57,0.22,55.77,3.41,37.59,21.95,Shimoga
2017-04-22,28.65,0.94,54.65,2.85,38.66,21.44,Shimoga
2017-04-23,28.75,0.0,53.63,2.57,38.69,20.32,Shimoga
2017-04-24,29.34,0.0,52.76,2.68,38.81,22.4,Shimoga
2017-04-25,28.94,0.02,51.59,2.38,38.66,21.37,Shimoga
2017-04-26,29.51,0.05,48.89,1.79,38.61,21.52,Shimoga
2017-04-27,29.69,8.53,54.11,1.95,39.33,21.86,Shimoga
2017-04-28,28.22,9.21,62.92,1.55,36.35,22.37,Shimoga
2017-04-29,28.07,1.64,61.72,1.57,36.08,22.64,Shimoga
2017-04-30,28.13,2.49,58.03,1.17,36.76,20.9,Shimoga
2017-05-01,28.81,1.54,50.71,1.4,37.37,21.04,Shimoga
2017-05-02,27.99,2.98,59.92,1.99,36.2,21.54,Shimoga
2017-05-03,28.54,2.04,59.68,1.4,36.95,21.56,Shimoga
2017-05-04,28.79,1.64,60.23,1.34,36.84,21.79,Shimoga
2017-05-05,29.78,0.01,58.02,1.58,38.48,22.17,Shimoga
2017-05-06,28.48,3.73,64.92,1.86,35.02,23.59,Shimoga
2017-05-07,27.08,10.19,71.67,1.82,33.04,23.26,Shimoga
2017-05-08,26.65,0.43,71.39,1.68,31.58,23.08,Shimoga
2017-05-09,27.05,0.12,67.0,2.14,32.95,22.76,Shimoga
2017-05-10,27.12,0.16,67.99,1.56,33.19,22.6,Shimoga
2017-05-11,26.48,3.43,71.5,1.7,30.91,23.22,Shimoga
2017-05-12,27.85,0.82,66.3,0.87,33.94,22.0,Shimoga
2017-05-13,27.2,0.16,70.45,2.04,32.29,23.33,Shimoga
2017-05-14,27.62,2.85,69.26,2.63,34.15,22.93,Shimoga
2017-05-15,26.65,1.68,72.82,2.56,32.11,22.95,Shimoga
2017-05-16,28.71,0.02,64.63,2.41,37.78,22.3,Shimoga
2017-05-17,28.48,0.03,61.09,3.38,36.29,23.38,Shimoga
2017-05-18,27.06,2.3,70.35,3.24,33.51,23.19,Shimoga
2017-05-19,26.45,2.34,72.21,3.17,32.15,22.98,Shimoga
2017-05-20,27.14,0.2,67.81,2.96,33.13,23.29,Shimoga
2017-05-21,27.09,0.69,67.08,2.98,33.44,22.77,Shimoga
2017-05-22,27.76,0.42,65.82,2.46,34.41,23.09,Shimoga
2017-05-23,27.81,1.0,66.64,2.43,34.28,22.94,Shimoga
2017-05-24,27.73,1.66,68.62,3.08,34.08,23.63,Shimoga
2017-05-25,28.42,0.0,65.18,3.83,36.01,23.63,Shimoga
2017-05-26,27.54,0.56,68.27,3.6,33.19,23.72,Shimoga
2017-05-27,27.23,3.67,70.07,3.35,34.35,23.13,Shimoga
2017-05-28,27.4,0.33,68.13,4.05,34.5,22.65,Shimoga
2017-05-29,27.05,3.68,72.68,4.14,34.05,22.85,Shimoga
2017-05-30,26.73,1.99,74.29,4.24,32.86,22.67,Shimoga
2017-05-31,26.97,1.22,72.97,4.23,32.31,23.24,Shimoga
2017-06-01,26.29,3.63,74.95,3.27,31.78,22.01,Shimoga
2017-06-02,25.72,5.79,72.39,3.4,32.77,20.95,Shimoga
2017-06-03,25.84,2.25,73.75,4.29,32.68,21.5,Shimoga
2017-06-04,25.45,2.22,74.5,3.14,30.96,21.85,Shimoga
2017-06-05,25.73,5.53,76.63,3.79,31.76,21.36,Shimoga
2017-06-06,25.62,6.12,76.5,3.83,31.8,22.11,Shimoga
2017-06-07,24.26,3.84,70.86,3.54,29.87,21.1,Shimoga
2017-06-08,23.82,2.38,78.13,3.93,28.48,20.71,Shimoga
2017-06-09,23.46,9.17,83.21,4.09,26.64,21.58,Shimoga
2017-06-10,23.35,12.86,81.64,5.11,27.35,20.91,Shimoga
2017-06-11,23.84,11.97,84.69,5.24,27.62,20.63,Shimoga
2017-06-12,24.26,10.01,84.45,4.44,27.97,21.62,Shimoga
2017-06-13,24.73,5.98,82.74,3.69,28.98,21.49,Shimoga
2017-06-14,24.89,2.35,82.75,2.94,29.35,22.13,Shimoga
2017-06-15,24.8,6.97,82.0,3.66,29.47,21.96,Shimoga
2017-06-16,24.25,9.94,84.3,3.57,28.33,21.2,Shimoga
