date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,22.95,0.36,45.63,2.77,32.07,16.12,Tumakuru
2016-12-02,22.97,7.2,65.76,3.05,30.41,17.77,Tumakuru
2016-12-03,23.16,1.7,75.9,3.19,30.78,18.18,Tumakuru
2016-12-04,24.07,0.04,66.88,2.85,31.65,18.64,Tumakuru
2016-12-05,24.6,0.01,65.03,2.47,32.17,19.35,Tumakuru
2016-12-06,22.56,0.0,62.81,2.68,30.46,16.87,Tumakuru
2016-12-07,22.54,0.0,55.25,2.24,31.58,13.67,Tumakuru
2016-12-08,23.28,0.0,59.6,1.9,31.54,16.9,Tumakuru
2016-12-09,21.92,0.0,36.75,1.83,31.13,15.36,Tumakuru
2016-12-10,20.08,0.0,25.05,2.06,30.28,12.2,Tumakuru
2016-12-11,20.55,0.0,26.26,1.77,28.6,12.32,Tumakuru
2016-12-12,20.65,28.59,52.15,3.0,27.28,15.01,Tumakuru
2016-12-13,20.04,10.03,85.1,4.1,23.94,16.35,Tumakuru
2016-12-14,22.16,1.33,77.88,2.85,27.62,18.47,Tumakuru
2016-12-15,21.72,0.74,69.38,2.41,29.54,16.86,Tumakuru
2016-12-16,21.44,1.1,75.77,2.48,28.8,15.93,Tumakuru
2016-12-17,21.65,0.01,71.17,2.06,29.49,16.33,Tumakuru
2016-12-18,20.83,0.0,66.93,2.03,29.24,14.1,Tumakuru
2016-12-19,20.23,0.0,56.5,2.09,29.37,13.59,Tumakuru
2016-12-20,20.17,0.0,53.67,2.2,30.62,12.81,Tumakuru
2016-12-21,20.73,0.0,62.71,1.52,30.82,12.88,Tumakuru
2016-12-22,20.78,0.0,47.35,1.81,30.43,14.53,Tumakuru
2016-12-23,20.99,0.0,35.43,1.56,30.26,15.04,Tumakuru
2016-12-24,19.35,0.0,44.63,1.86,30.47,10.92,Tumakuru
2016-12-25,19.42,0.0,56.33,1.86,30.31,11.5,Tumakuru
2016-12-26,19.86,0.0,49.27,2.19,30.39,11.55,Tumakuru
2016-12-27,20.03,0.0,51.08,2.56,30.56,12.07,Tumakuru
2016-12-28,20.28,0.0,54.18,2.25,31.27,11.44,Tumakuru
2016-12-29,19.66,0.0,58.23,2.24,29.81,11.81,Tumakuru
2016-12-30,19.4,0.0,62.46,2.25,29.18,11.95,Tumakuru
2016-12-31,19.73,0.0,61.22,2.3,29.35,13.02,Tumakuru
2017-01-01,19.73,0.0,57.4,1.9,29.76,11.59,Tumakuru
2017-01-02,20.18,0.0,55.62,1.89,29.95,12.11,Tumakuru
2017-01-03,20.64,0.0,47.05,2.16,30.17,13.05,Tumakuru
2017-01-04,20.87,0.0,49.3,1.83,30.27,13.07,Tumakuru
2017-01-05,20.75,0.0,48.24,1.95,30.61,12.85,Tumakuru
2017-01-06,20.47,0.0,48.0,1.65,30.75,11.59,Tumakuru
2017-01-07,20.46,0.0,48.32,1.68,30.41,11.96,Tumakuru
2017-01-08,20.9,0.0,52.59,2.02,30.86,12.59,Tumakuru
2017-01-09,21.14,0.0,52.76,1.67,30.27,13.3,Tumakuru
2017-01-10,21.18,0.0,42.94,1.06,30.29,12.96,Tumakuru
2017-01-11,21.53,0.0,45.09,1.37,30.48,14.19,Tumakuru
2017-01-12,22.1,0.0,51.02,1.61,30.35,13.98,Tumakuru
2017-01-13,23.04,0.0,52.65,1.75,30.72,15.51,Tumakuru
2017-01-14,22.58,0.0,56.28,2.64,29.71,17.5,Tumakuru
2017-01-15,22.01,0.0,52.38,2.7,30.75,14.69,Tumakuru
2017-01-16,21.36,0.0,52.09,2.29,30.21,14.18,Tumakuru
2017-01-17,21.07,0.0,41.16,2.47,30.65,12.94,Tumakuru
2017-01-18,20.68,0.0,46.1,3.13,30.28,12.12,Tumakuru
2017-01-19,20.19,0.0,57.0,3.24,29.45,12.17,Tumakuru
2017-01-20,21.13,0.0,53.58,2.91,30.52,11.51,Tumakuru
2017-01-21,23.11,0.0,63.34,3.5,31.62,15.37,Tumakuru
2017-01-22,23.61,0.0,51.03,3.12,32.51,15.46,Tumakuru
2017-01-23,22.63,0.0,39.14,3.24,32.05,13.88,Tumakuru
2017-01-24,22.83,0.0,48.86,3.29,31.8,14.59,Tumakuru
2017-01-25,22.9,0.0,50.32,3.15,32.03,14.1,Tumakuru
2017-01-26,23.77,0.13,53.47,2.39,33.12,15.43,Tumakuru
2017-01-27,23.34,0.83,67.98,2.39,28.83,18.98,Tumakuru
2017-01-28,24.87,0.16,62.43,3.34,31.84,19.26,Tumakuru
2017-01-29,24.92,0.0,54.48,2.81,33.23,17.23,Tumakuru
2017-01-30,23.79,0.0,45.45,2.49,32.83,16.39,Tumakuru
2017-01-31,23.56,0.0,42.96,2.5,33.85,15.66,Tumakuru
2017-02-01,22.9,0.0,36.44,2.37,33.51,13.95,Tumakuru
2017-02-02,22.23,0.0,40.77,2.66,32.89,12.9,Tumakuru
2017-02-03,22.1,0.0,47.58,2.48,31.69,13.06,Tumakuru
2017-02-04,22.62,0.0,43.32,2.38,32.44,14.19,Tumakuru
2017-02-05,22.44,0.0,40.94,2.05,32.77,13.82,Tumakuru
2017-02-06,22.26,0.0,39.1,2.04,32.23,13.38,Tumakuru
2017-02-07,23.11,0.0,27.51,1.7,33.01,13.74,Tumakuru
2017-02-08,23.36,0.0,31.59,2.57,33.74,14.22,Tumakuru
2017-02-09,23.19,0.0,36.85,2.33,33.78,13.63,Tumakuru
2017-02-10,23.06,0.0,36.37,2.36,33.75,13.97,Tumakuru
2017-02-11,23.01,0.0,37.02,2.09,33.39,13.74,Tumakuru
2017-02-12,22.79,0.0,42.53,2.85,33.21,13.78,Tumakuru
2017-02-13,22.36,0.0,44.82,3.33,32.15,12.75,Tumakuru
2017-02-14,23.8,0.0,51.15,3.72,33.31,13.95,Tumakuru
2017-02-15,23.64,0.0,46.49,3.37,32.85,14.38,Tumakuru
2017-02-16,22.76,0.0,38.54,3.74,32.08,13.35,Tumakuru
2017-02-17,22.71,0.0,41.88,3.52,32.76,12.81,Tumakuru
2017-02-18,24.05,0.0,37.98,3.21,34.24,14.72,Tumakuru
2017-02-19,24.51,0.0,34.99,2.12,34.62,15.06,Tumakuru
2017-02-20,25.48,0.0,27.47,1.39,34.92,16.32,Tumakuru
2017-02-21,26.0,0.0,41.64,1.87,35.07,17.33,Tumakuru
2017-02-22,26.43,0.0,26.15,1.7,35.88,17.29,Tumakuru
2017-02-23,26.4,0.0,31.55,3.09,36.2,17.35,Tumakuru
2017-02-24,26.67,0.0,30.66,3.38,37.03,16.45,Tumakuru
2017-02-25,26.73,0.0,33.3,2.82,36.29,17.48,Tumakuru
2017-02-26,26.08,0.0,30.77,2.94,34.98,18.18,Tumakuru
2017-02-27,25.2,0.0,34.81,3.36,34.79,17.03,Tumakuru
2017-02-28,24.67,0.0,24.99,3.15,34.7,15.32,Tumakuru
2017-03-01,24.98,0.0,26.69,3.28,35.1,15.12,Tumakuru
2017-03-02,24.64,0.0,22.92,2.61,34.98,14.96,Tumakuru
