date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.57,0.0,65.89,1.29,29.89,18.45,Udupi
2016-12-02,24.17,0.85,72.9,1.09,29.77,18.63,Udupi
2016-12-03,25.26,0.55,79.16,1.16,30.02,21.1,Udupi
2016-12-04,24.81,0.34,82.51,1.36,28.44,22.51,Udupi
2016-12-05,25.12,0.41,78.68,0.86,29.09,21.85,Udupi
2016-12-06,24.87,0.03,71.08,1.25,29.58,20.99,Udupi
2016-12-07,23.5,0.0,69.54,1.35,28.83,18.6,Udupi
2016-12-08,23.95,0.0,69.76,0.9,29.06,19.63,Udupi
2016-12-09,23.13,0.0,70.67,1.23,28.45,18.99,Udupi
2016-12-10,21.63,0.0,66.64,1.72,28.09,16.8,Udupi
2016-12-11,21.23,0.0,66.61,1.54,27.76,15.08,Udupi
2016-12-12,22.34,0.36,63.13,1.58,28.32,16.44,Udupi
2016-12-13,23.01,5.02,79.77,1.67,27.72,18.88,Udupi
2016-12-14,23.93,3.06,82.7,2.02,27.6,21.28,Udupi
2016-12-15,24.99,0.31,78.05,1.08,29.26,21.85,Udupi
2016-12-16,24.74,0.03,70.2,1.2,29.49,19.88,Udupi
2016-12-17,25.05,0.01,76.33,0.78,29.28,21.09,Udupi
2016-12-18,24.54,0.0,70.18,0.89,29.56,20.31,Udupi
2016-12-19,23.46,0.0,66.58,1.29,29.16,18.36,Udupi
2016-12-20,22.96,0.0,61.8,1.37,30.12,16.95,Udupi
2016-12-21,23.16,0.0,66.4,1.48,29.73,17.68,Udupi
2016-12-22,23.32,0.0,60.49,1.27,30.32,17.11,Udupi
2016-12-23,22.71,0.0,54.2,1.37,29.66,16.39,Udupi
2016-12-24,22.77,0.0,54.54,1.23,29.88,16.02,Udupi
2016-12-25,22.93,0.0,66.39,1.09,28.66,17.46,Udupi
2016-12-26,23.11,0.0,64.26,1.17,29.25,17.59,Udupi
2016-12-27,23.16,0.0,57.54,1.49,30.74,16.77,Udupi
2016-12-28,23.69,0.0,52.46,1.45,30.8,17.31,Udupi
2016-12-29,23.45,0.0,57.46,1.52,30.23,17.7,Udupi
2016-12-30,23.06,0.0,59.0,1.45,29.52,16.78,Udupi
2016-12-31,23.4,0.0,61.31,1.3,29.41,17.62,Udupi
2017-01-01,23.31,0.0,59.52,1.25,29.07,17.98,Udupi
2017-01-02,23.12,0.0,58.16,1.17,29.29,17.27,Udupi
2017-01-03,23.78,0.0,56.67,1.47,29.86,17.98,Udupi
2017-01-04,23.27,0.0,61.31,1.3,30.05,16.98,Udupi
2017-01-05,23.2,0.0,60.4,1.31,29.9,17.31,Udupi
2017-01-06,23.14,0.0,58.09,1.28,29.19,17.32,Udupi
2017-01-07,23.19,0.0,66.93,1.34,28.84,18.57,Udupi
2017-01-08,22.44,0.0,67.58,1.67,28.78,17.57,Udupi
2017-01-09,22.61,0.0,67.84,1.54,28.35,17.84,Udupi
2017-01-10,22.92,0.0,68.35,1.63,28.4,18.89,Udupi
2017-01-11,23.16,0.0,66.43,1.49,29.32,18.61,Udupi
2017-01-12,22.94,0.0,63.55,1.25,28.54,18.41,Udupi
2017-01-13,23.24,0.0,66.78,1.68,28.72,18.77,Udupi
2017-01-14,23.79,0.0,68.76,1.54,29.11,19.57,Udupi
2017-01-15,24.22,0.0,65.79,1.7,29.91,19.63,Udupi
2017-01-16,23.79,0.0,59.39,1.43,29.61,19.13,Udupi
2017-01-17,23.78,0.0,53.28,1.43,30.06,18.17,Udupi
2017-01-18,23.33,0.0,51.21,1.43,30.41,17.18,Udupi
2017-01-19,23.16,0.0,49.1,1.4,29.74,17.58,Udupi
2017-01-20,23.97,0.0,53.02,1.36,30.59,18.14,Udupi
2017-01-21,25.6,0.0,61.63,1.15,32.28,19.15,Udupi
2017-01-22,26.57,0.0,56.65,1.06,31.72,22.02,Udupi
2017-01-23,25.82,0.0,46.78,1.34,32.68,20.27,Udupi
