date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,21.9,0.0,69.25,0.49,28.32,16.73,Uttara Kannada
2016-12-02,22.83,0.0,72.31,0.43,29.12,17.11,Uttara Kannada
2016-12-03,24.68,0.02,81.94,0.44,29.36,20.86,Uttara Kannada
2016-12-04,23.95,0.17,84.32,0.35,26.56,21.93,Uttara Kannada
2016-12-05,24.58,0.12,80.95,0.4,28.67,21.12,Uttara Kannada
2016-12-06,22.36,0.0,65.29,0.49,27.55,18.47,Uttara Kannada
2016-12-07,21.75,0.0,68.93,0.51,28.01,17.0,Uttara Kannada
2016-12-08,21.62,0.0,75.92,0.5,28.26,16.04,Uttara Kannada
2016-12-09,20.6,0.0,69.76,0.49,27.23,14.9,Uttara Kannada
2016-12-10,19.57,0.0,68.17,0.54,26.93,13.34,Uttara Kannada
2016-12-11,19.31,0.0,64.89,0.55,26.45,12.6,Uttara Kannada
2016-12-12,20.63,0.0,66.22,0.62,27.58,13.95,Uttara Kannada
2016-12-13,23.49,0.2,68.55,0.43,29.26,17.94,Uttara Kannada
2016-12-14,24.59,1.27,81.63,0.44,28.21,22.23,Uttara Kannada
2016-12-15,24.43,0.07,79.01,0.43,29.34,20.3,Uttara Kannada
2016-12-16,24.34,0.02,79.83,0.45,29.76,19.94,Uttara Kannada
2016-12-17,24.29,0.03,80.02,0.43,29.57,20.31,Uttara Kannada
2016-12-18,23.88,0.0,78.6,0.45,29.5,19.44,Uttara Kannada
2016-12-19,22.63,0.0,68.86,0.48,29.2,17.12,Uttara Kannada
2016-12-20,22.27,0.0,58.68,0.51,30.57,15.31,Uttara Kannada
2016-12-21,21.47,0.0,61.05,0.56,30.28,14.82,Uttara Kannada
2016-12-22,21.56,0.0,60.33,0.53,29.34,14.85,Uttara Kannada
2016-12-23,20.72,0.0,60.44,0.62,28.71,13.71,Uttara Kannada
2016-12-24,21.02,0.0,57.78,0.67,28.88,13.46,Uttara Kannada
2016-12-25,21.03,0.0,64.52,0.57,28.55,14.23,Uttara Kannada
2016-12-26,21.79,0.0,69.7,0.63,29.07,15.65,Uttara Kannada
2016-12-27,22.33,0.0,55.27,0.57,31.33,15.65,Uttara Kannada
2016-12-28,21.74,0.0,53.01,0.56,29.93,15.39,Uttara Kannada
2016-12-29,22.1,0.0,59.23,0.51,30.84,15.61,Uttara Kannada
2016-12-30,22.23,0.0,63.84,0.5,30.02,16.09,Uttara Kannada
2016-12-31,22.13,0.0,67.15,0.51,29.64,16.34,Uttara Kannada
2017-01-01,22.1,0.0,62.94,0.55,29.47,15.97,Uttara Kannada
2017-01-02,21.75,0.0,64.34,0.6,29.46,15.79,Uttara Kannada
2017-01-03,22.32,0.0,63.72,0.54,30.49,15.96,Uttara Kannada
2017-01-04,21.64,0.0,54.73,0.56,30.6,14.71,Uttara Kannada
