date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,23.43,0.0,36.9,2.12,32.37,16.58,Vijayanagara
2016-12-02,24.68,1.03,53.73,2.82,32.32,17.7,Vijayanagara
2016-12-03,25.55,0.52,64.83,3.32,32.71,19.68,Vijayanagara
2016-12-04,25.51,0.78,63.3,2.9,31.41,20.22,Vijayanagara
2016-12-05,25.35,0.61,57.2,2.39,33.07,20.24,Vijayanagara
2016-12-06,22.64,0.0,45.91,2.39,30.89,15.72,Vijayanagara
2016-12-07,22.41,0.0,47.8,2.12,31.38,14.93,Vijayanagara
2016-12-08,22.45,0.0,37.21,1.72,32.38,14.64,Vijayanagara
2016-12-09,21.2,0.0,28.8,1.69,31.62,12.84,Vijayanagara
2016-12-10,20.17,0.0,27.21,1.99,31.24,11.05,Vijayanagara
2016-12-11,20.46,0.0,32.06,1.84,30.3,12.13,Vijayanagara
2016-12-12,23.12,0.1,34.75,2.88,31.93,14.33,Vijayanagara
2016-12-13,23.57,2.81,62.84,4.68,30.37,18.63,Vijayanagara
2016-12-14,24.55,1.1,66.76,3.15,31.06,19.49,Vijayanagara
2016-12-15,24.53,0.48,67.77,2.78,31.3,19.19,Vijayanagara
2016-12-16,25.28,0.0,63.06,2.86,31.83,20.16,Vijayanagara
2016-12-17,24.63,0.0,57.75,1.86,32.51,18.45,Vijayanagara
2016-12-18,23.23,0.0,48.08,1.9,31.75,15.99,Vijayanagara
2016-12-19,22.3,0.0,37.06,1.91,31.97,14.29,Vijayanagara
2016-12-20,21.5,0.0,36.76,1.94,31.35,13.46,Vijayanagara
2016-12-21,22.06,0.0,35.97,1.54,32.53,13.71,Vijayanagara
2016-12-22,22.1,0.0,23.74,1.88,32.93,12.82,Vijayanagara
2016-12-23,22.25,0.0,22.27,1.75,32.86,13.64,Vijayanagara
2016-12-24,21.74,0.0,22.07,2.02,32.13,12.72,Vijayanagara
2016-12-25,21.74,0.0,33.28,1.59,33.07,12.08,Vijayanagara
2016-12-26,22.04,0.0,35.22,1.82,31.94,14.51,Vijayanagara
2016-12-27,21.33,0.0,35.49,2.28,31.76,13.06,Vijayanagara
2016-12-28,20.92,0.0,39.43,2.07,31.4,12.01,Vijayanagara
2016-12-29,21.58,0.0,51.32,2.26,30.88,13.55,Vijayanagara
2016-12-30,21.8,0.0,52.99,2.06,30.81,14.2,Vijayanagara
2016-12-31,21.67,0.0,54.06,2.11,30.62,14.54,Vijayanagara
2017-01-01,21.55,0.0,45.56,2.22,30.79,13.96,Vijayanagara
2017-01-02,21.96,0.0,43.81,1.8,31.27,13.48,Vijayanagara
2017-01-03,22.21,0.0,38.44,1.98,31.71,14.34,Vijayanagara
2017-01-04,21.41,0.0,33.43,1.85,31.07,13.33,Vijayanagara
2017-01-05,20.78,0.0,29.77,1.92,30.72,12.31,Vijayanagara
2017-01-06,21.1,0.0,25.05,1.46,31.65,11.68,Vijayanagara
2017-01-07,21.58,0.0,30.79,1.28,31.5,12.68,Vijayanagara
2017-01-08,22.02,0.0,37.17,1.42,32.15,13.28,Vijayanagara
2017-01-09,22.18,0.0,49.13,1.46,30.68,14.06,Vijayanagara
2017-01-10,22.8,0.0,38.92,0.82,31.36,14.94,Vijayanagara
2017-01-11,22.12,0.0,34.75,1.53,30.75,14.29,Vijayanagara
2017-01-12,21.89,0.0,39.96,1.84,30.71,13.64,Vijayanagara
2017-01-13,23.3,0.0,47.32,1.9,30.55,15.33,Vijayanagara
2017-01-14,23.29,0.0,54.8,2.58,29.82,17.31,Vijayanagara
2017-01-15,23.23,0.0,50.77,2.37,31.02,16.14,Vijayanagara
2017-01-16,22.74,0.0,47.33,1.95,30.85,15.62,Vijayanagara
2017-01-17,22.41,0.0,38.44,2.05,31.13,14.59,Vijayanagara
2017-01-18,22.07,0.0,39.53,3.03,30.73,14.45,Vijayanagara
2017-01-19,21.3,0.0,52.67,2.81,29.57,13.51,Vijayanagara
2017-01-20,21.83,0.0,50.05,2.6,30.37,13.97,Vijayanagara
2017-01-21,23.84,0.0,50.68,2.85,32.3,15.52,Vijayanagara
2017-01-22,25.24,0.0,43.37,3.13,33.07,17.85,Vijayanagara
2017-01-23,24.44,0.0,42.24,2.42,32.58,17.08,Vijayanagara
2017-01-24,24.04,0.0,44.3,2.78,32.43,16.7,Vijayanagara
2017-01-25,24.01,0.0,50.25,2.91,31.84,16.33,Vijayanagara
2017-01-26,24.41,0.0,44.48,2.99,31.36,18.64,Vijayanagara
2017-01-27,25.36,0.02,52.58,2.43,33.1,18.2,Vijayanagara
2017-01-28,25.17,0.0,53.97,2.65,32.02,18.92,Vijayanagara
2017-01-29,25.31,0.0,43.14,2.36,33.23,18.47,Vijayanagara
2017-01-30,24.1,0.0,28.44,2.3,33.29,15.77,Vijayanagara
2017-01-31,24.35,0.0,27.42,1.8,34.35,14.88,Vijayanagara
2017-02-01,24.44,0.0,30.3,2.0,34.4,15.3,Vijayanagara
2017-02-02,23.88,0.0,34.18,2.41,33.37,14.98,Vijayanagara
2017-02-03,24.04,0.0,42.07,2.24,32.68,16.08,Vijayanagara
2017-02-04,24.18,0.0,33.19,1.94,33.09,15.75,Vijayanagara
2017-02-05,23.86,0.0,31.0,1.76,33.51,14.92,Vijayanagara
2017-02-06,24.13,0.0,27.29,1.44,33.78,15.43,Vijayanagara
2017-02-07,25.1,0.0,23.05,1.32,34.21,16.55,Vijayanagara
2017-02-08,24.51,0.0,27.81,1.87,34.32,15.38,Vijayanagara
2017-02-09,24.75,0.0,26.82,1.63,34.76,15.34,Vijayanagara
2017-02-10,24.44,0.0,25.89,2.07,34.44,15.37,Vijayanagara
2017-02-11,23.97,0.0,24.53,2.36,34.08,14.74,Vijayanagara
2017-02-12,23.66,0.0,33.22,2.61,33.32,14.83,Vijayanagara
2017-02-13,23.56,0.0,42.53,3.31,32.5,15.23,Vijayanagara
2017-02-14,23.83,0.0,39.43,2.99,33.5,14.61,Vijayanagara
2017-02-15,24.48,0.0,40.19,2.91,33.13,16.43,Vijayanagara
2017-02-16,23.92,0.0,42.14,3.19,32.76,16.01,Vijayanagara
2017-02-17,24.03,0.0,38.22,2.92,33.62,14.99,Vijayanagara
2017-02-18,25.16,0.0,36.5,2.47,34.69,16.8,Vijayanagara
2017-02-19,25.98,0.0,29.46,1.91,35.68,16.86,Vijayanagara
2017-02-20,27.55,0.0,21.99,1.12,36.29,18.27,Vijayanagara
2017-02-21,27.35,0.0,39.9,2.5,37.05,18.34,Vijayanagara
2017-02-22,26.99,0.0,25.36,1.71,37.29,16.5,Vijayanagara
2017-02-23,27.62,0.0,20.54,2.15,37.36,18.32,Vijayanagara
2017-02-24,27.51,0.0,25.09,2.22,37.51,18.22,Vijayanagara
2017-02-25,27.09,0.0,27.11,2.21,37.04,18.48,Vijayanagara
2017-02-26,26.1,0.0,19.33,2.68,36.55,16.72,Vijayanagara
2017-02-27,25.71,0.0,27.82,2.88,35.79,15.88,Vijayanagara
2017-02-28,26.57,0.0,31.12,2.7,36.24,17.46,Vijayanagara
2017-03-01,26.73,0.0,26.69,2.68,36.2,17.84,Vijayanagara
