date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,22.83,0.0,50.64,1.93,33.3,15.25,Yadgir
2016-12-02,24.65,0.0,54.36,2.5,33.47,16.47,Yadgir
2016-12-03,25.69,0.0,62.29,3.16,32.61,19.82,Yadgir
2016-12-04,25.76,0.04,64.13,2.61,32.44,19.83,Yadgir
2016-12-05,24.58,0.01,52.35,2.43,32.87,18.49,Yadgir
2016-12-06,22.65,0.0,45.08,2.23,31.48,15.74,Yadgir
2016-12-07,21.93,0.0,49.2,1.81,31.44,14.3,Yadgir
2016-12-08,21.79,0.0,40.42,1.78,32.12,14.04,Yadgir
2016-12-09,20.83,0.0,34.8,1.74,31.67,12.16,Yadgir
2016-12-10,20.25,0.0,34.49,2.22,31.32,10.95,Yadgir
2016-12-11,20.21,0.0,40.25,2.09,30.6,11.92,Yadgir
2016-12-12,22.36,0.0,37.32,2.88,33.54,13.27,Yadgir
2016-12-13,24.2,0.43,54.83,3.52,31.91,17.58,Yadgir
2016-12-14,24.49,0.16,70.36,2.57,30.85,19.22,Yadgir
2016-12-15,25.6,0.02,57.47,2.46,32.67,19.63,Yadgir
2016-12-16,25.51,0.0,57.68,2.03,32.56,19.68,Yadgir
2016-12-17,24.58,0.0,46.02,1.8,33.2,17.6,Yadgir
2016-12-18,23.26,0.0,38.89,1.8,32.61,15.51,Yadgir
2016-12-19,22.24,0.0,34.29,1.89,32.56,13.85,Yadgir
2016-12-20,21.82,0.0,32.72,1.75,32.49,13.23,Yadgir
2016-12-21,21.77,0.0,30.17,1.41,32.95,13.16,Yadgir
2016-12-22,22.37,0.0,25.97,1.73,34.09,13.41,Yadgir
2016-12-23,21.92,0.0,25.22,1.72,33.76,12.75,Yadgir
2016-12-24,22.18,0.0,23.33,1.66,33.84,13.38,Yadgir
2016-12-25,22.44,0.0,28.31,1.24,33.2,12.52,Yadgir
2016-12-26,22.18,0.0,36.98,1.64,33.02,13.38,Yadgir
2016-12-27,21.81,0.0,29.14,2.02,32.68,12.97,Yadgir
2016-12-28,21.21,0.0,29.84,1.66,31.62,12.26,Yadgir
2016-12-29,21.67,0.0,41.81,1.84,31.76,13.57,Yadgir
2016-12-30,21.99,0.0,43.87,1.69,31.71,14.04,Yadgir
2016-12-31,22.26,0.0,49.54,1.63,31.6,14.53,Yadgir
2017-01-01,22.68,0.0,45.58,1.58,31.76,14.55,Yadgir
2017-01-02,22.84,0.0,38.57,1.1,31.6,13.77,Yadgir
2017-01-03,21.89,0.0,33.52,2.24,31.82,14.17,Yadgir
2017-01-04,21.33,0.0,26.94,1.74,31.64,12.62,Yadgir
2017-01-05,21.15,0.0,27.34,1.87,31.45,12.57,Yadgir
2017-01-06,22.14,0.0,25.26,1.16,31.89,12.45,Yadgir
2017-01-07,21.15,0.0,35.74,1.64,30.95,12.27,Yadgir
2017-01-08,21.8,0.0,40.46,1.69,31.48,12.98,Yadgir
2017-01-09,22.51,0.0,49.61,1.74,30.59,14.22,Yadgir
2017-01-10,23.28,0.0,37.25,0.76,31.06,16.06,Yadgir
2017-01-11,22.03,0.0,30.69,1.76,31.15,14.26,Yadgir
2017-01-12,21.24,0.0,26.78,1.77,30.49,13.26,Yadgir
2017-01-13,22.16,0.0,38.49,1.89,30.07,14.17,Yadgir
2017-01-14,22.37,0.0,46.43,2.26,28.96,15.59,Yadgir
2017-01-15,23.26,0.0,47.51,2.09,30.99,16.13,Yadgir
2017-01-16,23.34,0.0,38.7,1.56,31.24,15.9,Yadgir
2017-01-17,23.25,0.0,33.04,1.5,31.85,15.46,Yadgir
2017-01-18,22.42,0.0,36.65,2.64,31.27,15.04,Yadgir
2017-01-19,21.88,0.0,49.06,2.09,30.51,14.23,Yadgir
2017-01-20,22.26,0.0,41.49,2.0,31.26,14.21,Yadgir
2017-01-21,23.58,0.0,35.13,2.24,32.95,15.19,Yadgir
2017-01-22,25.04,0.0,38.85,2.11,34.4,16.37,Yadgir
2017-01-23,25.0,0.0,38.34,1.86,33.9,16.79,Yadgir
2017-01-24,24.82,0.0,33.9,2.64,34.24,16.95,Yadgir
2017-01-25,23.91,0.0,39.09,2.05,32.79,15.7,Yadgir
2017-01-26,24.51,0.0,40.6,2.57,31.71,18.67,Yadgir
2017-01-27,25.46,0.0,42.98,1.68,33.85,17.54,Yadgir
2017-01-28,25.22,0.0,38.89,2.14,33.73,17.93,Yadgir
2017-01-29,24.31,0.0,28.68,1.88,33.54,16.4,Yadgir
2017-01-30,24.45,0.0,19.06,1.75,34.85,15.08,Yadgir
2017-01-31,24.84,0.0,25.45,1.32,34.22,14.55,Yadgir
2017-02-01,24.9,0.0,30.7,1.57,34.56,15.37,Yadgir
2017-02-02,24.37,0.0,39.04,2.17,33.65,15.69,Yadgir
2017-02-03,24.74,0.0,39.46,1.78,33.62,16.72,Yadgir
2017-02-04,24.75,0.0,29.86,1.83,34.35,16.19,Yadgir
2017-02-05,24.46,0.0,34.42,1.92,33.51,15.54,Yadgir
2017-02-06,25.79,0.0,23.54,1.09,34.53,17.65,Yadgir
2017-02-07,25.14,0.0,24.12,1.81,34.56,15.99,Yadgir
2017-02-08,25.2,0.0,25.45,2.05,34.76,16.51,Yadgir
2017-02-09,25.51,0.0,27.03,1.26,34.76,15.7,Yadgir
2017-02-10,25.06,0.0,27.97,1.93,34.67,16.15,Yadgir
2017-02-11,24.29,0.0,31.51,2.45,34.18,15.27,Yadgir
2017-02-12,24.05,0.0,36.15,2.37,33.38,15.16,Yadgir
2017-02-13,24.42,0.0,42.03,2.99,33.62,15.99,Yadgir
2017-02-14,24.89,0.0,39.53,2.35,34.34,15.73,Yadgir
2017-02-15,25.61,0.0,35.72,2.72,34.26,17.8,Yadgir
